time,latitude,longitude,sst
UTC,degrees_north,degrees_east,degree_C
2021-01-01T12:00:00Z,42.9955492889468,-87.7107369122681,4.79
2021-01-02T12:00:00Z,42.9955492889468,-87.7107369122681,4.76
2021-01-03T12:00:00Z,42.9955492889468,-87.7107369122681,4.71
2021-01-04T12:00:00Z,42.9955492889468,-87.7107369122681,4.62
2021-01-05T12:00:00Z,42.9955492889468,-87.7107369122681,4.44
2021-01-06T12:00:00Z,42.9955492889468,-87.7107369122681,4.25
2021-01-07T12:00:00Z,42.9955492889468,-87.7107369122681,4.22
2021-01-08T12:00:00Z,42.9955492889468,-87.7107369122681,4.29
2021-01-09T12:00:00Z,42.9955492889468,-87.7107369122681,4.33
2021-01-10T12:00:00Z,42.9955492889468,-87.7107369122681,4.3
2021-01-11T12:00:00Z,42.9955492889468,-87.7107369122681,4.24
2021-01-12T12:00:00Z,42.9955492889468,-87.7107369122681,4.21
2021-01-13T12:00:00Z,42.9955492889468,-87.7107369122681,4.2
2021-01-14T12:00:00Z,42.9955492889468,-87.7107369122681,4.19
2021-01-15T12:00:00Z,42.9955492889468,-87.7107369122681,4.06
2021-01-16T12:00:00Z,42.9955492889468,-87.7107369122681,3.98
2021-01-17T12:00:00Z,42.9955492889468,-87.7107369122681,3.92
2021-01-18T12:00:00Z,42.9955492889468,-87.7107369122681,3.88
2021-01-19T12:00:00Z,42.9955492889468,-87.7107369122681,3.87
2021-01-20T12:00:00Z,42.9955492889468,-87.7107369122681,3.88
2021-01-21T12:00:00Z,42.9955492889468,-87.7107369122681,3.87
2021-01-22T12:00:00Z,42.9955492889468,-87.7107369122681,3.73
2021-01-23T12:00:00Z,42.9955492889468,-87.7107369122681,3.62
2021-01-24T12:00:00Z,42.9955492889468,-87.7107369122681,3.57
2021-01-25T12:00:00Z,42.9955492889468,-87.7107369122681,3.43
2021-01-26T12:00:00Z,42.9955492889468,-87.7107369122681,3.18
2021-01-27T12:00:00Z,42.9955492889468,-87.7107369122681,2.88
2021-01-28T12:00:00Z,42.9955492889468,-87.7107369122681,2.67
2021-01-29T12:00:00Z,42.9955492889468,-87.7107369122681,2.54
2021-01-30T12:00:00Z,42.9955492889468,-87.7107369122681,2.52
2021-01-31T12:00:00Z,42.9955492889468,-87.7107369122681,2.47
2021-02-01T12:00:00Z,42.9955492889468,-87.7107369122681,2.4
2021-02-02T12:00:00Z,42.9955492889468,-87.7107369122681,2.35
2021-02-03T12:00:00Z,42.9955492889468,-87.7107369122681,2.24
2021-02-04T12:00:00Z,42.9955492889468,-87.7107369122681,2.2
2021-02-05T12:00:00Z,42.9955492889468,-87.7107369122681,2.2
2021-02-06T12:00:00Z,42.9955492889468,-87.7107369122681,2.13
2021-02-07T12:00:00Z,42.9955492889468,-87.7107369122681,1.89
2021-02-08T12:00:00Z,42.9955492889468,-87.7107369122681,1.87
2021-02-09T12:00:00Z,42.9955492889468,-87.7107369122681,1.98
2021-02-10T12:00:00Z,42.9955492889468,-87.7107369122681,2.05
2021-02-11T12:00:00Z,42.9955492889468,-87.7107369122681,2.1
2021-02-12T12:00:00Z,42.9955492889468,-87.7107369122681,2.02
2021-02-13T12:00:00Z,42.9955492889468,-87.7107369122681,1.93
2021-02-14T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-15T12:00:00Z,42.9955492889468,-87.7107369122681,1.54
2021-02-16T12:00:00Z,42.9955492889468,-87.7107369122681,1.33
2021-02-17T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-18T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-19T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-20T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-21T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-22T12:00:00Z,42.9955492889468,-87.7107369122681,0.2
2021-02-23T12:00:00Z,42.9955492889468,-87.7107369122681,1.38
2021-02-24T12:00:00Z,42.9955492889468,-87.7107369122681,1.33
2021-02-25T12:00:00Z,42.9955492889468,-87.7107369122681,1.32
2021-02-26T12:00:00Z,42.9955492889468,-87.7107369122681,1.42
2021-02-27T12:00:00Z,42.9955492889468,-87.7107369122681,1.51
2021-02-28T12:00:00Z,42.9955492889468,-87.7107369122681,1.56
2021-03-01T12:00:00Z,42.9955492889468,-87.7107369122681,1.59
2021-03-02T12:00:00Z,42.9955492889468,-87.7107369122681,1.67
2021-03-03T12:00:00Z,42.9955492889468,-87.7107369122681,1.75
2021-03-04T12:00:00Z,42.9955492889468,-87.7107369122681,1.66
2021-03-05T12:00:00Z,42.9955492889468,-87.7107369122681,1.51
2021-03-06T12:00:00Z,42.9955492889468,-87.7107369122681,1.54
2021-03-07T12:00:00Z,42.9955492889468,-87.7107369122681,1.69
2021-03-08T12:00:00Z,42.9955492889468,-87.7107369122681,1.91
2021-03-09T12:00:00Z,42.9955492889468,-87.7107369122681,2.08
2021-03-10T12:00:00Z,42.9955492889468,-87.7107369122681,2.18
2021-03-11T12:00:00Z,42.9955492889468,-87.7107369122681,2.26
2021-03-12T12:00:00Z,42.9955492889468,-87.7107369122681,2.3
2021-03-13T12:00:00Z,42.9955492889468,-87.7107369122681,2.29
2021-03-14T12:00:00Z,42.9955492889468,-87.7107369122681,2.4
2021-03-15T12:00:00Z,42.9955492889468,-87.7107369122681,2.47
2021-03-16T12:00:00Z,42.9955492889468,-87.7107369122681,2.54
2021-03-17T12:00:00Z,42.9955492889468,-87.7107369122681,2.62
