#YYYY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,1,1,0,229,2.6,3.2,99.0,99.0,99.0,999,1019.0,-1.9,999.0,-8.9,99.0,99.0
2003,1,1,1,289,4.4,5.0,99.0,99.0,99.0,999,1018.9,-2.3,999.0,-9.7,99.0,99.0
2003,1,1,2,302,5.5,7.6,99.0,99.0,99.0,999,1018.5,-3.1,999.0,-9.5,99.0,99.0
2003,1,1,3,313,7.0,7.9,99.0,99.0,99.0,999,1018.5,-3.0,999.0,-9.6,99.0,99.0
2003,1,1,4,330,6.3,7.2,99.0,99.0,99.0,999,1018.4,-3.5,999.0,-10.1,99.0,99.0
2003,1,1,5,338,7.4,8.6,99.0,99.0,99.0,999,1018.5,-3.6,999.0,-9.2,99.0,99.0
2003,1,1,6,336,5.0,6.3,99.0,99.0,99.0,999,1019.0,-3.9,999.0,-9.2,99.0,99.0
2003,1,1,7,2,9.4,10.5,99.0,99.0,99.0,999,1019.6,-3.5,999.0,-8.8,99.0,99.0
2003,1,1,8,360,6.3,7.5,99.0,99.0,99.0,999,1020.1,-3.0,999.0,-5.9,99.0,99.0
2003,1,1,9,358,10.7,12.8,99.0,99.0,99.0,999,9999.0,-3.6,999.0,-6.5,99.0,99.0
2003,1,1,10,10,10.8,12.6,99.0,99.0,99.0,999,1019.8,-3.6,999.0,-6.4,99.0,99.0
2003,1,1,11,27,10.8,12.9,99.0,99.0,99.0,999,1020.0,-2.3,999.0,-5.7,99.0,99.0
2003,1,1,12,29,11.3,13.1,99.0,99.0,99.0,999,1019.8,-2.0,999.0,-6.0,99.0,99.0
2003,1,1,13,28,11.2,12.2,99.0,99.0,99.0,999,1020.4,-1.9,999.0,-5.4,99.0,99.0
2003,1,1,14,31,10.7,12.6,99.0,99.0,99.0,999,1020.8,-1.7,999.0,-4.2,99.0,99.0
2003,1,1,15,22,9.8,11.9,99.0,99.0,99.0,999,1021.1,-2.4,999.0,-4.1,99.0,99.0
2003,1,1,16,51,10.6,12.0,99.0,99.0,99.0,999,1020.8,-1.3,999.0,-5.2,99.0,99.0
2003,1,1,17,52,10.6,11.6,99.0,99.0,99.0,999,1020.4,-1.5,999.0,-4.3,99.0,99.0
2003,1,1,18,49,10.5,11.5,99.0,99.0,99.0,999,1019.8,-1.3,999.0,-3.6,99.0,99.0
2003,1,1,19,42,11.6,12.7,99.0,99.0,99.0,999,1019.6,-1.4,999.0,-4.2,99.0,99.0
2003,1,1,20,17,10.7,11.3,99.0,99.0,99.0,999,1020.0,-1.1,999.0,-4.3,99.0,99.0
2003,1,1,21,24,11.8,14.3,99.0,99.0,99.0,999,1019.9,-1.1,999.0,-5.0,99.0,99.0
2003,1,1,22,15,13.0,14.6,99.0,99.0,99.0,999,1020.2,-1.2,999.0,-4.1,99.0,99.0
2003,1,1,23,16,13.1,14.4,99.0,99.0,99.0,999,1020.5,-1.1,999.0,-4.3,99.0,99.0
2003,1,2,0,24,12.1,14.3,99.0,99.0,99.0,999,1020.5,-0.9,999.0,-3.7,99.0,99.0
2003,1,2,1,29,11.9,13.2,99.0,99.0,99.0,999,1020.6,-0.7,999.0,-4.2,99.0,99.0
2003,1,2,2,38,12.5,14.4,99.0,99.0,99.0,999,1020.6,-0.6,999.0,-3.6,99.0,99.0
2003,1,2,3,47,12.5,13.8,99.0,99.0,99.0,999,1020.6,-0.7,999.0,-4.6,99.0,99.0
