#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2011,01,01,00,00,136,2.7,2.9,99.00,99.00,99.00,999,1003.6,4.4,999.0,4.3,99.0,99.00
2011,01,01,01,00,167,7.6,7.8,99.00,99.00,99.00,999,1003.0,4.8,999.0,4.7,99.0,99.00
2011,01,01,02,00,197,8.9,10.5,99.00,99.00,99.00,999,1003.1,5.6,999.0,5.5,99.0,99.00
2011,01,01,03,00,186,6.8,7.1,99.00,99.00,99.00,999,1002.4,4.9,999.0,4.7,99.0,99.00
2011,01,01,04,00,186,8.1,8.4,99.00,99.00,99.00,999,1001.9,5.0,999.0,4.8,99.0,99.00
2011,01,01,05,00,196,6.0,6.5,99.00,99.00,99.00,999,1002.0,4.9,999.0,4.8,99.0,99.00
2011,01,01,06,00,247,3.0,3.5,99.00,99.00,99.00,999,1002.1,5.9,999.0,5.7,99.0,99.00
2011,01,01,07,00,243,7.4,8.3,99.00,99.00,99.00,999,1002.4,5.7,999.0,5.7,99.0,99.00
2011,01,01,08,00,235,9.0,10.6,99.00,99.00,99.00,999,1002.9,5.1,999.0,0.4,99.0,99.00
2011,01,01,09,00,225,11.5,12.8,99.00,99.00,99.00,999,1002.9,3.9,999.0,-4.1,99.0,99.00
2011,01,01,10,00,239,11.7,14.2,99.00,99.00,99.00,999,1003.0,2.2,999.0,-3.7,99.0,99.00
2011,01,01,11,00,234,11.1,13.4,99.00,99.00,99.00,999,1002.6,0.5,999.0,-6.2,99.0,99.00
2011,01,01,12,00,223,8.7,10.5,99.00,99.00,99.00,999,1003.6,-1.1,999.0,-3.8,99.0,99.00
2011,01,01,13,00,234,7.9,9.0,99.00,99.00,99.00,999,1004.3,-2.9,999.0,-7.4,99.0,99.00
2011,01,01,14,00,230,12.0,14.3,99.00,99.00,99.00,999,1005.0,-4.3,999.0,-9.6,99.0,99.00
2011,01,01,15,00,229,13.8,17.0,99.00,99.00,99.00,999,1006.6,-6.5,999.0,-12.4,99.0,99.00
2011,01,01,16,00,236,15.2,18.4,99.00,99.00,99.00,999,1007.7,-7.9,999.0,-14.7,99.0,99.00
2011,01,01,17,00,247,13.6,16.2,99.00,99.00,99.00,999,1007.8,-8.5,999.0,-14.6,99.0,99.00
2011,01,01,18,00,250,14.6,17.6,99.00,99.00,99.00,999,1007.9,-9.5,999.0,-16.6,99.0,99.00
2011,01,01,19,00,234,14.1,16.5,99.00,99.00,99.00,999,1008.2,-8.9,999.0,-15.2,99.0,99.00
2011,01,01,20,00,236,14.5,18.3,99.00,99.00,99.00,999,1008.6,-8.7,999.0,-15.8,99.0,99.00
2011,01,01,21,00,234,11.9,13.8,99.00,99.00,99.00,999,1009.8,-8.7,999.0,-15.2,99.0,99.00
2011,01,01,22,00,242,11.8,15.5,99.00,99.00,99.00,999,1010.9,-8.9,999.0,-16.1,99.0,99.00
2011,01,01,23,00,239,9.3,10.7,99.00,99.00,99.00,999,1012.2,-9.4,999.0,-15.3,99.0,99.00
2011,01,02,00,00,246,12.7,15.4,99.00,99.00,99.00,999,1013.6,-10.2,999.0,-16.3,99.0,99.00
2011,01,02,01,00,242,13.5,15.0,99.00,99.00,99.00,999,1014.0,-10.5,999.0,-15.9,99.0,99.00
2011,01,02,02,00,241,11.5,13.0,99.00,99.00,99.00,999,1014.2,-10.6,999.0,-15.9,99.0,99.00
2011,01,02,03,00,242,9.2,10.8,99.00,99.00,99.00,999,1014.3,-10.6,999.0,-14.8,99.0,99.00
2011,01,02,04,00,253,8.2,9.9,99.00,99.00,99.00,999,1015.1,-11.0,999.0,-14.9,99.0,99.00
2011,01,02,05,00,253,6.6,9.3,99.00,99.00,99.00,999,1016.3,-11.9,999.0,-16.2,99.0,99.00
2011,01,02,06,00,248,7.5,9.8,99.00,99.00,99.00,999,1016.2,-12.2,999.0,-15.7,99.0,99.00
2011,01,02,07,00,249,6.3,8.1,99.00,99.00,99.00,999,1016.3,-12.0,999.0,-14.4,99.0,99.00
2011,01,02,08,00,250,6.5,8.4,99.00,99.00,99.00,999,1017.0,-12.0,999.0,-14.4,99.0,99.00
2011,01,02,09,00,242,6.1,7.0,99.00,99.00,99.00,999,1017.4,-11.8,999.0,-13.9,99.0,99.00
2011,01,02,10,00,253,8.2,10.5,99.00,99.00,99.00,999,1017.4,-11.5,999.0,-13.5,99.0,99.00
2011,01,02,11,00,249,6.4,7.7,99.00,99.00,99.00,999,1017.9,-11.4,999.0,-13.7,99.0,99.00
2011,01,02,12,00,246,7.7,8.8,99.00,99.00,99.00,999,1018.3,-11.6,999.0,-13.7,99.0,99.00
2011,01,02,13,00,248,6.2,7.4,99.00,99.00,99.00,999,1018.7,-11.7,999.0,-13.6,99.0,99.00
2011,01,02,14,00,245,7.4,9.0,99.00,99.00,99.00,999,1018.8,-11.6,999.0,-13.7,99.0,99.00
2011,01,02,15,00,249,7.8,9.7,99.00,99.00,99.00,999,1019.3,-11.1,999.0,-13.8,99.0,99.00
2011,01,02,16,00,250,7.3,8.2,99.00,99.00,99.00,999,1019.4,-10.1,999.0,-13.9,99.0,99.00
2011,01,02,17,00,244,7.1,8.2,99.00,99.00,99.00,999,1019.0,-9.0,999.0,-13.7,99.0,99.00
2011,01,02,18,00,253,7.3,9.7,99.00,99.00,99.00,999,1018.7,-7.7,999.0,-13.9,99.0,99.00
2011,01,02,19,00,251,7.3,8.5,99.00,99.00,99.00,999,1018.2,-6.5,999.0,-14.5,99.0,99.00
2011,01,02,20,00,264,7.7,8.9,99.00,99.00,99.00,999,1018.0,-5.6,999.0,-14.4,99.0,99.00
2011,01,02,21,00,255,6.2,7.8,99.00,99.00,99.00,999,1018.4,-5.4,999.0,-13.3,99.0,99.00
2011,01,02,22,00,234,5.9,6.9,99.00,99.00,99.00,999,1018.4,-5.3,999.0,-13.3,99.0,99.00
2011,01,02,23,00,240,3.7,4.5,99.00,99.00,99.00,999,1018.9,-5.6,999.0,-13.5,99.0,99.00
2011,01,03,00,00,225,4.3,5.1,99.00,99.00,99.00,999,1019.3,-5.8,999.0,-13.5,99.0,99.00
2011,01,03,01,00,219,5.5,6.3,99.00,99.00,99.00,999,1019.5,-6.0,999.0,-13.3,99.0,99.00
