#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2010,01,03,02,00,319,7.6,9.3,99.00,99.00,99.00,999,1031.5,-14.4,999.0,-19.9,99.0,99.00
2010,01,03,03,00,325,7.7,9.2,99.00,99.00,99.00,999,1031.5,-14.8,999.0,-19.9,99.0,99.00
2010,01,03,04,00,333,8.6,9.5,99.00,99.00,99.00,999,1031.3,-14.8,999.0,-20.0,99.0,99.00
2010,01,03,05,00,328,7.7,8.9,99.00,99.00,99.00,999,1031.2,-14.9,999.0,-20.4,99.0,99.00
2010,01,03,06,00,312,6.6,7.8,99.00,99.00,99.00,999,1030.8,-15.8,999.0,-20.4,99.0,99.00
2010,01,03,07,00,334,6.1,7.1,99.00,99.00,99.00,999,1030.6,-15.8,999.0,-20.2,99.0,99.00
2010,01,03,08,00,337,9.2,10.6,99.00,99.00,99.00,999,1030.5,-14.9,999.0,-18.6,99.0,99.00
2010,01,03,09,00,315,6.6,7.7,99.00,99.00,99.00,999,1030.6,-14.4,999.0,-17.7,99.0,99.00
2010,01,03,10,00,307,8.0,9.4,99.00,99.00,99.00,999,1030.3,-14.3,999.0,-17.4,99.0,99.00
2010,01,03,11,00,316,7.4,9.3,99.00,99.00,99.00,999,1030.3,-13.6,999.0,-16.3,99.0,99.00
2010,01,03,12,00,324,8.9,10.6,99.00,99.00,99.00,999,1030.1,-12.8,999.0,-15.7,99.0,99.00
2010,01,03,13,00,318,8.6,10.2,99.00,99.00,99.00,999,1030.3,-12.6,999.0,-15.5,99.0,99.00
2010,01,03,14,00,326,8.0,9.5,99.00,99.00,99.00,999,1030.7,-12.0,999.0,-15.0,99.0,99.00
2010,01,03,15,00,322,9.3,11.5,99.00,99.00,99.00,999,1030.7,-11.4,999.0,-14.3,99.0,99.00
2010,01,03,16,00,317,9.3,10.8,99.00,99.00,99.00,999,1030.5,-10.6,999.0,-13.8,99.0,99.00
2010,01,03,17,00,326,10.6,12.9,99.00,99.00,99.00,999,1029.8,-10.1,999.0,-13.9,99.0,99.00
2010,01,03,18,00,308,10.0,12.2,99.00,99.00,99.00,999,1029.5,-9.7,999.0,-13.6,99.0,99.00
2010,01,03,19,00,332,8.3,10.4,99.00,99.00,99.00,999,1029.3,-8.8,999.0,-13.0,99.0,99.00
2010,01,03,20,00,335,7.3,8.9,99.00,99.00,99.00,999,1029.3,-8.5,999.0,-12.8,99.0,99.00
2010,01,03,21,00,317,8.8,11.0,99.00,99.00,99.00,999,1029.4,-9.3,999.0,-13.4,99.0,99.00
2010,01,03,22,00,308,7.4,8.5,99.00,99.00,99.00,999,1029.8,-9.6,999.0,-13.6,99.0,99.00
2010,01,03,23,00,311,8.1,9.6,99.00,99.00,99.00,999,1029.8,-9.9,999.0,-14.0,99.0,99.00
2010,01,04,00,00,316,7.7,9.9,99.00,99.00,99.00,999,1029.5,-9.9,999.0,-14.4,99.0,99.00
2010,01,04,01,00,314,7.7,9.8,99.00,99.00,99.00,999,1029.3,-10.2,999.0,-14.6,99.0,99.00
2010,01,04,02,00,321,8.5,9.7,99.00,99.00,99.00,999,1028.8,-9.9,999.0,-14.1,99.0,99.00
2010,01,04,03,00,324,8.0,9.6,99.00,99.00,99.00,999,1028.2,-9.9,999.0,-13.9,99.0,99.00
2010,01,04,04,00,328,8.0,9.7,99.00,99.00,99.00,999,1028.2,-10.0,999.0,-14.2,99.0,99.00
2010,01,04,05,00,334,7.8,9.7,99.00,99.00,99.00,999,1027.8,-10.2,999.0,-14.0,99.0,99.00
2010,01,04,06,00,328,7.7,10.1,99.00,99.00,99.00,999,1027.3,-10.6,999.0,-14.2,99.0,99.00
2010,01,04,07,00,334,6.7,7.8,99.00,99.00,99.00,999,1027.0,-10.8,999.0,-13.9,99.0,99.00
2010,01,04,08,00,332,8.4,10.7,99.00,99.00,99.00,999,1026.9,-10.7,999.0,-14.1,99.0,99.00
2010,01,04,09,00,323,9.1,11.3,99.00,99.00,99.00,999,1026.2,-10.7,999.0,-14.0,99.0,99.00
2010,01,04,10,00,323,9.5,11.7,99.00,99.00,99.00,999,1025.6,-10.3,999.0,-13.7,99.0,99.00
2010,01,04,11,00,320,8.0,9.8,99.00,99.00,99.00,999,1025.5,-10.1,999.0,-13.4,99.0,99.00
2010,01,04,12,00,322,8.6,11.2,99.00,99.00,99.00,999,1025.0,-9.9,999.0,-13.3,99.0,99.00
2010,01,04,13,00,328,9.8,10.9,99.00,99.00,99.00,999,1024.9,-9.9,999.0,-13.6,99.0,99.00
2010,01,04,14,00,315,8.4,10.5,99.00,99.00,99.00,999,1025.0,-9.6,999.0,-12.9,99.0,99.00
2010,01,04,15,00,326,8.7,9.7,99.00,99.00,99.00,999,1024.8,-9.5,999.0,-13.1,99.0,99.00
2010,01,04,16,00,322,8.1,9.6,99.00,99.00,99.00,999,1024.7,-8.8,999.0,-12.7,99.0,99.00
