station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
SBM,2015-01-01,30.0,15.0,17.06,5.0,0.0001,12.034892,252.27138,55.1208,66.14813,80.5482,,18.0,27.0,,28.4,13.9,0.04
SBM,2015-01-02,30.0,10.0,17.06,3.92,0.0,3.478018,277.0293,32.3245,68.42738,88.3729,,8.0,13.90362,,28.2,13.7,0.04
SBM,2015-01-03,34.0,21.0,33.08,19.04,0.04,2.8443825,341.69864,84.5388,93.47456,100.0,,8.0,11.296691,,28.1,13.5,0.04
SBM,2015-01-04,32.0,-5.0,30.02,-16.96,0.03,13.981158,317.8522,55.1595,74.568436,96.4121,,20.0,30.41417,,27.9,13.3,0.04
SBM,2015-01-05,3.0,-9.0,-4.0,-18.04,0.0001,10.20656,273.34692,56.3124,62.423363,75.570045,,15.0,23.462358,,27.7,13.1,0.04
SBM,2015-01-06,11.0,-2.0,-2.02,-7.96,0.0001,11.390789,281.42667,54.8363,64.07417,78.7045,,19.0,26.069286,,27.6,12.9,0.03
SBM,2015-01-07,4.0,-6.0,-9.94,-16.96,0.0,14.869505,296.12692,50.0394,55.36697,64.0856,,18.0,30.0,,27.4,12.7,0.03
SBM,2015-01-08,11.0,-6.0,3.92,-14.98,0.0001,14.070481,237.78836,55.9849,68.76463,79.7436,,22.0,30.41417,,27.3,12.5,0.04
SBM,2015-01-09,6.0,-1.0,-2.92,-11.92,0.0001,14.288206,284.00528,51.0656,58.517666,65.7689,,21.0,31.0,,27.2,12.3,0.03
SBM,2015-01-10,20.0,-6.0,10.94,-11.02,0.0,11.10328,224.23337,56.9336,66.30259,78.1394,,18.0,23.462358,,27.1,12.1,0.04
SBM,2015-01-11,28.0,15.0,14.0,8.96,0.0,3.849965,246.98009,57.6261,68.168846,77.3529,,9.0,13.034643,,27.0,12.0,0.03
SBM,2015-01-12,21.0,7.0,12.02,-2.02,0.0001,10.348221,346.85202,53.0733,62.75567,73.6709,,15.0,22.593382,,26.9,11.8,0.04
