#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2009,01,01,00,00,265,4.9,5.8,99.00,99.00,99.00,999,1029.3,-13.6,999.0,-17.6,99.0,99.00
2009,01,01,01,00,257,3.4,4.6,99.00,99.00,99.00,999,1029.5,-14.2,999.0,-18.1,99.0,99.00
2009,01,01,02,00,261,3.7,4.4,99.00,99.00,99.00,999,1028.6,-14.1,999.0,-17.3,99.0,99.00
2009,01,01,03,00,254,4.3,4.8,99.00,99.00,99.00,999,1028.5,-14.6,999.0,-18.7,99.0,99.00
2009,01,01,04,00,190,2.3,3.3,99.00,99.00,99.00,999,1027.7,-13.8,999.0,-17.1,99.0,99.00
2009,01,01,05,00,212,3.1,3.7,99.00,99.00,99.00,999,1026.7,-13.8,999.0,-17.8,99.0,99.00
2009,01,01,06,00,239,4.4,5.0,99.00,99.00,99.00,999,1026.2,-13.5,999.0,-18.0,99.0,99.00
2009,01,01,07,00,242,2.4,2.9,99.00,99.00,99.00,999,1025.4,-13.2,999.0,-18.0,99.0,99.00
2009,01,01,08,00,182,4.0,4.4,99.00,99.00,99.00,999,1023.7,-10.8,999.0,-14.5,99.0,99.00
2009,01,01,09,00,254,5.3,5.7,99.00,99.00,99.00,999,1023.2,-10.4,999.0,-13.8,99.0,99.00
2009,01,01,10,00,225,4.0,4.8,99.00,99.00,99.00,999,1021.6,-8.1,999.0,-12.3,99.0,99.00
2009,01,01,11,00,213,5.6,7.1,99.00,99.00,99.00,999,1020.6,-6.2,999.0,-13.1,99.0,99.00
2009,01,01,12,00,219,5.7,6.6,99.00,99.00,99.00,999,1020.6,-6.1,999.0,-12.8,99.0,99.00
2009,01,01,13,00,193,11.2,12.8,99.00,99.00,99.00,999,1019.0,-4.1,999.0,-11.9,99.0,99.00
2009,01,01,14,00,187,14.6,16.0,99.00,99.00,99.00,999,1017.8,-3.3,999.0,-11.0,99.0,99.00
2009,01,01,15,00,184,14.5,16.4,99.00,99.00,99.00,999,1017.3,-3.2,999.0,-10.7,99.0,99.00
