#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2021,01,01,00,00,233,2.1,2.5,99.00,99.00,99.00,999,9999.0,-4.5,999.0,999.0,99.0,99.00
2021,01,01,01,00,264,1.6,2.2,99.00,99.00,99.00,999,9999.0,-5.0,999.0,999.0,99.0,99.00
2021,01,01,02,00,296,1.6,2.0,99.00,99.00,99.00,999,9999.0,-5.7,999.0,999.0,99.0,99.00
2021,01,01,03,00,255,2.5,2.7,99.00,99.00,99.00,999,9999.0,-6.3,999.0,999.0,99.0,99.00
2021,01,01,04,00,261,2.9,3.3,99.00,99.00,99.00,999,9999.0,-7.1,999.0,999.0,99.0,99.00
2021,01,01,05,00,248,3.2,3.8,99.00,99.00,99.00,999,9999.0,-7.2,999.0,999.0,99.0,99.00
2021,01,01,06,00,228,3.6,4.2,99.00,99.00,99.00,999,9999.0,-6.0,999.0,999.0,99.0,99.00
2021,01,01,07,00,262,3.3,3.9,99.00,99.00,99.00,999,9999.0,-7.5,999.0,999.0,99.0,99.00
2021,01,01,08,00,262,2.6,3.1,99.00,99.00,99.00,999,9999.0,-7.1,999.0,999.0,99.0,99.00
2021,01,01,09,00,265,2.6,2.9,99.00,99.00,99.00,999,9999.0,-6.3,999.0,999.0,99.0,99.00
2021,01,01,10,00,305,2.8,3.2,99.00,99.00,99.00,999,9999.0,-6.5,999.0,999.0,99.0,99.00
2021,01,01,11,00,334,2.1,2.4,99.00,99.00,99.00,999,9999.0,-6.1,999.0,999.0,99.0,99.00
2021,01,01,12,00,342,3.2,3.6,99.00,99.00,99.00,999,9999.0,-6.5,999.0,999.0,99.0,99.00
2021,01,01,13,00,337,3.8,4.4,99.00,99.00,99.00,999,9999.0,-6.6,999.0,999.0,99.0,99.00
2021,01,01,14,00,347,3.4,3.9,99.00,99.00,99.00,999,9999.0,-6.3,999.0,999.0,99.0,99.00
2021,01,01,15,00,360,5.1,5.6,99.00,99.00,99.00,999,9999.0,-5.3,999.0,999.0,99.0,99.00
2021,01,01,16,00,89,6.8,7.9,99.00,99.00,99.00,999,9999.0,-0.4,999.0,999.0,99.0,99.00
2021,01,01,17,00,104,7.9,8.5,99.00,99.00,99.00,999,9999.0,-0.7,999.0,999.0,99.0,99.00
2021,01,01,18,00,84,6.9,8.0,99.00,99.00,99.00,999,9999.0,-0.9,999.0,999.0,99.0,99.00
2021,01,01,19,00,77,6.7,8.1,99.00,99.00,99.00,999,9999.0,-0.4,999.0,999.0,99.0,99.00
2021,01,01,20,00,60,8.3,8.9,99.00,99.00,99.00,999,9999.0,-0.5,999.0,999.0,99.0,99.00
2021,01,01,21,00,46,9.0,9.8,99.00,99.00,99.00,999,9999.0,-0.3,999.0,999.0,99.0,99.00
2021,01,01,22,00,49,7.6,8.6,99.00,99.00,99.00,999,9999.0,-0.2,999.0,999.0,99.0,99.00
2021,01,01,23,00,37,6.7,7.3,99.00,99.00,99.00,999,9999.0,-0.5,999.0,999.0,99.0,99.00
2021,01,02,00,00,41,7.1,7.7,99.00,99.00,99.00,999,9999.0,-0.7,999.0,999.0,99.0,99.00
2021,01,02,01,00,21,8.4,9.6,99.00,99.00,99.00,999,9999.0,0.6,999.0,999.0,99.0,99.00
2021,01,02,02,00,349,8.5,9.7,99.00,99.00,99.00,999,9999.0,-0.3,999.0,999.0,99.0,99.00
2021,01,02,03,00,339,5.9,6.9,99.00,99.00,99.00,999,9999.0,-1.3,999.0,999.0,99.0,99.00
2021,01,02,04,00,328,5.6,6.8,99.00,99.00,99.00,999,9999.0,-2.4,999.0,999.0,99.0,99.00
2021,01,02,05,00,319,5.4,7.3,99.00,99.00,99.00,999,9999.0,-2.2,999.0,999.0,99.0,99.00
2021,01,02,06,00,328,6.0,7.3,99.00,99.00,99.00,999,9999.0,-2.9,999.0,999.0,99.0,99.00
2021,01,02,07,00,327,7.2,8.3,99.00,99.00,99.00,999,9999.0,-3.8,999.0,999.0,99.0,99.00
2021,01,02,08,00,309,4.0,4.9,99.00,99.00,99.00,999,9999.0,-3.4,999.0,999.0,99.0,99.00
2021,01,02,09,00,321,4.6,5.4,99.00,99.00,99.00,999,9999.0,-3.9,999.0,999.0,99.0,99.00
2021,01,02,10,00,305,5.0,6.6,99.00,99.00,99.00,999,9999.0,-4.8,999.0,999.0,99.0,99.00
2021,01,02,11,00,291,5.9,6.8,99.00,99.00,99.00,999,9999.0,-5.5,999.0,999.0,99.0,99.00
2021,01,02,12,00,277,4.5,5.1,99.00,99.00,99.00,999,9999.0,-5.3,999.0,999.0,99.0,99.00
2021,01,02,13,00,273,4.1,4.7,99.00,99.00,99.00,999,9999.0,-5.6,999.0,999.0,99.0,99.00
2021,01,02,14,00,247,3.6,4.2,99.00,99.00,99.00,999,9999.0,-5.9,999.0,999.0,99.0,99.00
2021,01,02,15,00,268,4.1,4.5,99.00,99.00,99.00,999,9999.0,-5.8,999.0,999.0,99.0,99.00
2021,01,02,16,00,275,2.8,3.2,99.00,99.00,99.00,999,9999.0,-5.4,999.0,999.0,99.0,99.00
2021,01,02,17,00,276,1.6,2.6,99.00,99.00,99.00,999,9999.0,-5.4,999.0,999.0,99.0,99.00
2021,01,02,18,00,208,2.6,3.2,99.00,99.00,99.00,999,9999.0,-5.3,999.0,999.0,99.0,99.00
2021,01,02,19,00,224,3.3,4.0,99.00,99.00,99.00,999,9999.0,-5.3,999.0,999.0,99.0,99.00
2021,01,02,20,00,228,2.9,3.4,99.00,99.00,99.00,999,9999.0,-4.8,999.0,999.0,99.0,99.00
2021,01,02,21,00,194,2.1,2.5,99.00,99.00,99.00,999,9999.0,-4.1,999.0,999.0,99.0,99.00
2021,01,02,22,00,196,2.3,2.6,99.00,99.00,99.00,999,9999.0,-4.3,999.0,999.0,99.0,99.00
2021,01,02,23,00,257,2.0,2.2,99.00,99.00,99.00,999,9999.0,-4.7,999.0,999.0,99.0,99.00
2021,01,03,00,00,224,3.4,4.2,99.00,99.00,99.00,999,9999.0,-4.8,999.0,999.0,99.0,99.00
2021,01,03,01,00,214,4.7,5.4,99.00,99.00,99.00,999,9999.0,-5.1,999.0,999.0,99.0,99.00
2021,01,03,02,00,257,4.1,4.6,99.00,99.00,99.00,999,9999.0,-4.9,999.0,999.0,99.0,99.00
2021,01,03,03,00,280,3.0,3.7,99.00,99.00,99.00,999,9999.0,-4.5,999.0,999.0,99.0,99.00
2021,01,03,04,00,293,1.5,2.2,99.00,99.00,99.00,999,9999.0,-4.9,999.0,999.0,99.0,99.00
2021,01,03,05,00,306,1.2,1.8,99.00,99.00,99.00,999,9999.0,-4.6,999.0,999.0,99.0,99.00
2021,01,03,06,00,331,0.7,1.9,99.00,99.00,99.00,999,9999.0,-4.4,999.0,999.0,99.0,99.00
2021,01,03,07,00,6,1.7,2.1,99.00,99.00,99.00,999,9999.0,-4.3,999.0,999.0,99.0,99.00
2021,01,03,08,00,336,2.3,2.8,99.00,99.00,99.00,999,9999.0,-4.1,999.0,999.0,99.0,99.00
2021,01,03,09,00,327,2.6,3.1,99.00,99.00,99.00,999,9999.0,-4.1,999.0,999.0,99.0,99.00
2021,01,03,10,00,342,2.1,2.7,99.00,99.00,99.00,999,9999.0,-4.2,999.0,999.0,99.0,99.00
2021,01,03,11,00,338,1.4,1.7,99.00,99.00,99.00,999,9999.0,-4.0,999.0,999.0,99.0,99.00
2021,01,03,12,00,290,1.3,1.7,99.00,99.00,99.00,999,9999.0,-3.5,999.0,999.0,99.0,99.00
2021,01,03,13,00,256,1.9,2.7,99.00,99.00,99.00,999,9999.0,-3.0,999.0,999.0,99.0,99.00
2021,01,03,14,00,251,2.5,3.1,99.00,99.00,99.00,999,9999.0,-2.6,999.0,999.0,99.0,99.00
2021,01,03,15,00,260,3.6,4.3,99.00,99.00,99.00,999,9999.0,-2.1,999.0,999.0,99.0,99.00
2021,01,03,16,00,275,4.6,5.7,99.00,99.00,99.00,999,9999.0,-1.7,999.0,999.0,99.0,99.00
2021,01,03,17,00,263,4.9,5.6,99.00,99.00,99.00,999,9999.0,-1.2,999.0,999.0,99.0,99.00
2021,01,03,18,00,241,6.0,7.1,99.00,99.00,99.00,999,9999.0,-0.6,999.0,999.0,99.0,99.00
2021,01,03,19,00,268,5.4,5.9,99.00,99.00,99.00,999,9999.0,-1.9,999.0,999.0,99.0,99.00
2021,01,03,20,00,234,5.3,6.0,99.00,99.00,99.00,999,9999.0,-1.4,999.0,999.0,99.0,99.00
2021,01,03,21,00,233,4.4,5.1,99.00,99.00,99.00,999,9999.0,-1.0,999.0,999.0,99.0,99.00
2021,01,03,22,00,233,4.6,5.6,99.00,99.00,99.00,999,9999.0,-1.4,999.0,999.0,99.0,99.00
