#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2016,01,01,00,00,210,4.9,5.9,99.00,99.00,99.00,999,1022.4,-4.4,999.0,-8.1,99.0,99.00
2016,01,01,01,00,212,4.3,4.9,99.00,99.00,99.00,999,1022.6,-5.1,999.0,-8.2,99.0,99.00
2016,01,01,02,00,219,5.5,6.5,99.00,99.00,99.00,999,1022.4,-5.6,999.0,-9.5,99.0,99.00
2016,01,01,03,00,234,4.9,5.7,99.00,99.00,99.00,999,1022.0,-6.2,999.0,-10.5,99.0,99.00
2016,01,01,04,00,227,5.3,5.8,99.00,99.00,99.00,999,1021.6,-6.8,999.0,-10.8,99.0,99.00
2016,01,01,05,00,243,7.0,8.3,99.00,99.00,99.00,999,1021.3,-6.3,999.0,-10.8,99.0,99.00
2016,01,01,06,00,243,7.2,8.4,99.00,99.00,99.00,999,1020.8,-6.2,999.0,-10.3,99.0,99.00
2016,01,01,07,00,254,6.3,8.3,99.00,99.00,99.00,999,1020.5,-6.4,999.0,-9.7,99.0,99.00
2016,01,01,08,00,256,5.7,7.2,99.00,99.00,99.00,999,1020.6,-6.8,999.0,-9.8,99.0,99.00
2016,01,01,09,00,265,6.1,7.7,99.00,99.00,99.00,999,1020.3,-7.5,999.0,-10.4,99.0,99.00
2016,01,01,10,00,265,6.5,8.4,99.00,99.00,99.00,999,1020.1,-7.8,999.0,-10.6,99.0,99.00
2016,01,01,11,00,256,8.9,11.7,99.00,99.00,99.00,999,1019.6,-7.5,999.0,-10.3,99.0,99.00
2016,01,01,12,00,269,5.2,7.3,99.00,99.00,99.00,999,1019.9,-7.5,999.0,-9.9,99.0,99.00
2016,01,01,13,00,270,5.8,7.0,99.00,99.00,99.00,999,1020.0,-7.3,999.0,-9.7,99.0,99.00
2016,01,01,14,00,281,7.1,8.9,99.00,99.00,99.00,999,1020.1,-6.7,999.0,-9.2,99.0,99.00
2016,01,01,15,00,268,6.9,8.5,99.00,99.00,99.00,999,1020.7,-6.4,999.0,-9.8,99.0,99.00
2016,01,01,16,00,251,5.8,7.0,99.00,99.00,99.00,999,1020.7,-6.1,999.0,-9.8,99.0,99.00
2016,01,01,17,00,261,5.7,7.2,99.00,99.00,99.00,999,1020.0,-5.6,999.0,-8.7,99.0,99.00
2016,01,01,18,00,250,5.2,6.5,99.00,99.00,99.00,999,1019.2,-4.9,999.0,-8.1,99.0,99.00
2016,01,01,19,00,229,5.6,6.4,99.00,99.00,99.00,999,1018.4,-3.8,999.0,-7.3,99.0,99.00
2016,01,01,20,00,238,7.5,8.6,99.00,99.00,99.00,999,1017.5,-3.4,999.0,-6.9,99.0,99.00
2016,01,01,21,00,224,4.9,5.9,99.00,99.00,99.00,999,1017.5,-3.2,999.0,-6.6,99.0,99.00
2016,01,01,22,00,220,6.2,7.5,99.00,99.00,99.00,999,1017.3,-2.9,999.0,-6.8,99.0,99.00
2016,01,01,23,00,224,4.5,6.8,99.00,99.00,99.00,999,1017.7,-2.7,999.0,-6.2,99.0,99.00
2016,01,02,00,00,208,5.6,6.5,99.00,99.00,99.00,999,1017.3,-3.0,999.0,-6.3,99.0,99.00
2016,01,02,01,00,220,5.4,6.3,99.00,99.00,99.00,999,1017.8,-3.3,999.0,-6.1,99.0,99.00
2016,01,02,02,00,239,4.5,5.7,99.00,99.00,99.00,999,1017.9,-4.0,999.0,-6.7,99.0,99.00
2016,01,02,03,00,240,2.8,3.3,99.00,99.00,99.00,999,1017.8,-4.3,999.0,-7.1,99.0,99.00
2016,01,02,04,00,258,2.8,3.3,99.00,99.00,99.00,999,1017.7,-3.9,999.0,-6.9,99.0,99.00
2016,01,02,05,00,259,3.6,4.7,99.00,99.00,99.00,999,1017.6,-3.5,999.0,-7.1,99.0,99.00
2016,01,02,06,00,281,4.8,6.3,99.00,99.00,99.00,999,1018.1,-3.2,999.0,-7.3,99.0,99.00
2016,01,02,07,00,297,4.2,4.8,99.00,99.00,99.00,999,1018.0,-3.3,999.0,-7.6,99.0,99.00
2016,01,02,08,00,266,2.2,2.7,99.00,99.00,99.00,999,1017.8,-3.5,999.0,-7.3,99.0,99.00
2016,01,02,09,00,233,2.8,3.2,99.00,99.00,99.00,999,1017.6,-4.2,999.0,-7.2,99.0,99.00
2016,01,02,10,00,233,3.6,4.2,99.00,99.00,99.00,999,1017.7,-5.2,999.0,-7.7,99.0,99.00
2016,01,02,11,00,234,2.6,3.2,99.00,99.00,99.00,999,1017.4,-5.6,999.0,-7.5,99.0,99.00
2016,01,02,12,00,219,4.2,4.6,99.00,99.00,99.00,999,1017.4,-5.8,999.0,-7.2,99.0,99.00
2016,01,02,13,00,212,4.8,5.4,99.00,99.00,99.00,999,1017.5,-6.5,999.0,-7.6,99.0,99.00
2016,01,02,14,00,228,3.2,3.8,99.00,99.00,99.00,999,1017.5,-6.4,999.0,-7.6,99.0,99.00
2016,01,02,15,00,231,2.9,3.4,99.00,99.00,99.00,999,1017.3,-5.3,999.0,-7.5,99.0,99.00
2016,01,02,16,00,237,3.6,4.7,99.00,99.00,99.00,999,1016.9,-3.5,999.0,-7.3,99.0,99.00
2016,01,02,17,00,209,5.1,6.0,99.00,99.00,99.00,999,1015.7,-2.7,999.0,-7.0,99.0,99.00
2016,01,02,18,00,208,5.9,6.6,99.00,99.00,99.00,999,1013.8,-2.1,999.0,-6.8,99.0,99.00
2016,01,02,19,00,218,5.1,6.1,99.00,99.00,99.00,999,1012.7,-0.6,999.0,-6.0,99.0,99.00
