#YYYY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,1,1,16,0,150,5.5,6.1,99.0,99.0,99.0,999,1013.6,1.7,1.5,1.1,99.0,99.0
2006,1,1,17,0,156,5.1,5.6,99.0,99.0,99.0,999,1013.1,1.9,1.4,1.6,99.0,99.0
2006,1,1,18,0,145,5.1,5.4,99.0,99.0,99.0,999,1012.2,2.5,1.5,2.2,99.0,99.0
2006,1,1,19,0,144,6.0,6.2,99.0,99.0,99.0,999,1011.7,2.8,1.6,2.7,99.0,99.0
2006,1,1,20,0,133,6.4,7.2,99.0,99.0,99.0,999,1011.7,2.6,1.6,2.6,99.0,99.0
2006,1,1,21,0,114,5.9,6.2,99.0,99.0,99.0,999,1011.6,2.7,1.8,2.6,99.0,99.0
2006,1,1,22,0,92,7.5,8.0,99.0,99.0,99.0,999,1011.8,2.7,1.5,2.6,99.0,99.0
2006,1,1,23,0,82,7.7,8.3,99.0,99.0,99.0,999,1012.1,2.6,1.8,2.6,99.0,99.0
2006,1,2,0,0,70,8.3,9.2,99.0,99.0,99.0,999,1011.9,2.7,1.8,2.6,99.0,99.0
2006,1,2,1,0,69,7.7,9.0,99.0,99.0,99.0,999,1012.2,2.8,1.6,2.7,99.0,99.0
2006,1,2,2,0,72,8.5,9.7,99.0,99.0,99.0,999,1012.2,2.5,1.6,2.5,99.0,99.0
2006,1,2,3,0,69,9.5,10.3,99.0,99.0,99.0,999,1011.7,2.4,1.5,2.4,99.0,99.0
2006,1,2,4,0,72,9.4,10.1,99.0,99.0,99.0,999,1011.9,2.5,1.5,2.5,99.0,99.0
2006,1,2,5,0,66,8.4,9.1,99.0,99.0,99.0,999,1011.6,2.5,1.6,2.5,99.0,99.0
2006,1,2,6,0,67,6.9,7.4,99.0,99.0,99.0,999,1011.1,2.7,1.6,2.7,99.0,99.0
2006,1,2,7,0,74,7.4,8.0,99.0,99.0,99.0,999,1010.7,3.1,1.6,3.1,99.0,99.0
2006,1,2,8,0,67,7.6,8.2,99.0,99.0,99.0,999,1010.5,3.1,1.6,3.1,99.0,99.0
2006,1,2,9,0,70,6.6,7.1,99.0,99.0,99.0,999,1010.3,3.0,1.6,3.0,99.0,99.0
2006,1,2,10,0,55,8.6,9.5,99.0,99.0,99.0,999,1008.6,3.0,1.5,3.0,99.0,99.0
2006,1,2,11,0,58,9.4,10.3,99.0,99.0,99.0,999,1008.6,3.0,1.5,3.0,99.0,99.0
2006,1,2,12,0,52,9.4,10.0,99.0,99.0,99.0,999,1008.6,3.0,1.6,3.0,99.0,99.0
2006,1,2,13,0,42,9.2,10.8,99.0,99.0,99.0,999,1008.8,3.1,1.6,3.1,99.0,99.0
2006,1,2,14,0,47,9.5,10.9,99.0,99.0,99.0,999,1009.0,3.2,1.6,3.2,99.0,99.0
2006,1,2,15,0,40,11.0,11.7,99.0,99.0,99.0,999,1008.5,3.1,1.7,3.1,99.0,99.0
2006,1,2,16,0,36,12.3,13.5,99.0,99.0,99.0,999,1008.1,3.0,1.6,3.0,99.0,99.0
2006,1,2,17,0,33,11.1,12.5,99.0,99.0,99.0,999,1008.3,3.1,1.7,3.1,99.0,99.0
2006,1,2,18,0,26,8.5,9.7,99.0,99.0,99.0,999,1008.2,3.0,1.7,3.0,99.0,99.0
2006,1,2,19,0,29,11.2,12.0,99.0,99.0,99.0,999,1007.1,2.9,1.7,2.9,99.0,99.0
2006,1,2,20,0,30,9.3,10.6,99.0,99.0,99.0,999,1007.4,3.0,1.8,3.0,99.0,99.0
2006,1,2,21,0,21,9.4,10.1,99.0,99.0,99.0,999,1007.2,3.0,1.8,3.0,99.0,99.0
2006,1,2,22,0,25,10.6,11.2,99.0,99.0,99.0,999,1007.2,3.1,1.8,3.1,99.0,99.0
2006,1,2,23,0,25,11.6,12.6,99.0,99.0,99.0,999,1007.2,3.5,1.8,3.5,99.0,99.0
2006,1,3,0,0,12,9.8,10.4,99.0,99.0,99.0,999,1008.3,3.2,1.8,3.2,99.0,99.0
2006,1,3,1,0,20,10.1,10.9,99.0,99.0,99.0,999,1008.6,3.3,1.9,3.3,99.0,99.0
2006,1,3,2,0,19,10.3,11.5,99.0,99.0,99.0,999,1009.3,3.2,1.9,3.2,99.0,99.0
2006,1,3,3,0,16,10.0,10.8,99.0,99.0,99.0,999,1009.8,3.1,1.8,3.1,99.0,99.0
2006,1,3,4,0,22,10.4,11.5,99.0,99.0,99.0,999,1010.2,3.2,1.9,3.2,99.0,99.0
2006,1,3,5,0,19,8.5,8.9,99.0,99.0,99.0,999,1010.6,3.2,1.9,3.2,99.0,99.0
2006,1,3,6,0,24,8.4,8.9,99.0,99.0,99.0,999,1010.9,3.1,1.8,3.1,99.0,99.0
2006,1,3,7,0,25,7.6,8.2,99.0,99.0,99.0,999,1011.4,2.8,1.8,2.8,99.0,99.0
2006,1,3,8,0,34,6.7,7.3,99.0,99.0,99.0,999,1011.8,2.7,1.8,2.7,99.0,99.0
2006,1,3,9,0,27,5.5,5.7,99.0,99.0,99.0,999,1012.3,2.7,1.8,2.7,99.0,99.0
2006,1,3,10,0,31,3.7,4.0,99.0,99.0,99.0,999,1012.5,2.6,1.7,2.6,99.0,99.0
2006,1,3,11,0,360,2.8,2.9,99.0,99.0,99.0,999,1012.9,2.5,1.7,2.5,99.0,99.0
2006,1,3,12,0,6,2.3,2.7,99.0,99.0,99.0,999,1013.7,2.8,1.6,2.8,99.0,99.0
2006,1,3,13,0,11,2.6,2.8,99.0,99.0,99.0,999,1013.6,2.2,1.6,2.2,99.0,99.0
2006,1,3,14,0,38,3.1,3.2,99.0,99.0,99.0,999,1013.6,2.3,1.5,2.3,99.0,99.0
2006,1,3,15,0,22,1.3,1.6,99.0,99.0,99.0,999,1014.8,2.6,1.6,2.6,99.0,99.0
2006,1,3,16,0,53,2.1,2.2,99.0,99.0,99.0,999,1014.1,2.4,1.6,2.4,99.0,99.0
2006,1,3,17,0,231,0.9,1.1,99.0,99.0,99.0,999,1014.2,2.8,1.6,2.8,99.0,99.0
2006,1,3,18,0,145,3.0,3.1,99.0,99.0,99.0,999,1013.1,3.0,1.6,3.0,99.0,99.0
2006,1,3,19,0,172,3.6,3.8,99.0,99.0,99.0,999,1013.4,2.9,1.6,2.9,99.0,99.0
2006,1,3,20,0,163,4.7,4.9,99.0,99.0,99.0,999,1012.9,3.0,1.6,3.0,99.0,99.0
2006,1,3,21,0,164,4.2,4.4,99.0,99.0,99.0,999,1013.1,2.8,1.6,2.8,99.0,99.0
2006,1,3,22,0,167,3.9,4.1,99.0,99.0,99.0,999,1013.5,2.7,1.6,2.7,99.0,99.0
2006,1,3,23,0,175,4.7,5.1,99.0,99.0,99.0,999,1013.5,2.9,1.5,2.9,99.0,99.0
2006,1,4,0,0,169,4.3,4.7,99.0,99.0,99.0,999,1013.2,2.5,1.6,2.5,99.0,99.0
2006,1,4,1,0,180,4.3,4.5,99.0,99.0,99.0,999,1012.9,2.6,1.5,2.6,99.0,99.0
2006,1,4,2,0,149,2.9,3.1,99.0,99.0,99.0,999,1011.8,2.4,1.4,2.4,99.0,99.0
2006,1,4,3,0,152,4.5,4.6,99.0,99.0,99.0,999,1010.8,2.9,1.5,2.9,99.0,99.0
2006,1,4,4,0,173,4.4,4.6,99.0,99.0,99.0,999,1010.1,2.8,1.3,2.8,99.0,99.0
2006,1,4,5,0,186,5.3,6.1,99.0,99.0,99.0,999,1010.4,3.4,1.4,3.4,99.0,99.0
2006,1,4,6,0,176,4.7,5.1,99.0,99.0,99.0,999,1009.6,3.3,1.5,3.3,99.0,99.0
2006,1,4,7,0,172,4.7,4.9,99.0,99.0,99.0,999,1009.0,3.0,1.5,3.0,99.0,99.0
2006,1,4,8,0,161,3.1,3.2,99.0,99.0,99.0,999,1008.4,2.8,1.4,2.8,99.0,99.0
2006,1,4,9,0,144,3.6,3.9,99.0,99.0,99.0,999,1006.7,2.9,1.2,2.9,99.0,99.0
2006,1,4,10,0,198,2.8,3.2,99.0,99.0,99.0,999,1006.7,3.7,1.4,3.7,99.0,99.0
2006,1,4,11,0,206,2.3,2.7,99.0,99.0,99.0,999,1006.2,3.7,1.3,3.7,99.0,99.0
2006,1,4,12,0,210,1.4,1.5,99.0,99.0,99.0,999,1006.0,3.5,1.2,3.5,99.0,99.0
2006,1,4,13,0,238,1.5,1.6,99.0,99.0,99.0,999,1005.8,3.5,1.5,3.5,99.0,99.0
2006,1,4,14,0,262,1.0,1.1,99.0,99.0,99.0,999,1005.7,3.4,1.4,3.4,99.0,99.0
2006,1,4,15,0,239,2.3,2.8,99.0,99.0,99.0,999,1005.4,3.5,1.3,3.5,99.0,99.0
2006,1,4,16,0,270,3.3,4.2,99.0,99.0,99.0,999,1005.7,3.6,1.5,3.6,99.0,99.0
2006,1,4,17,0,273,5.2,6.1,99.0,99.0,99.0,999,1005.4,4.0,1.5,4.0,99.0,99.0
2006,1,4,18,0,295,7.1,8.7,99.0,99.0,99.0,999,1004.9,3.5,1.5,3.5,99.0,99.0
2006,1,4,19,0,290,6.7,8.2,99.0,99.0,99.0,999,1004.6,2.9,1.4,2.9,99.0,99.0
2006,1,4,20,0,291,6.9,8.4,99.0,99.0,99.0,999,1005.0,2.8,1.5,2.8,99.0,99.0
2006,1,4,21,0,291,7.1,8.3,99.0,99.0,99.0,999,1005.8,2.8,1.5,2.8,99.0,99.0
2006,1,4,22,0,285,6.0,7.9,99.0,99.0,99.0,999,1006.4,2.5,1.5,2.5,99.0,99.0
2006,1,4,23,0,280,9.3,10.8,99.0,99.0,99.0,999,1007.0,2.0,1.5,2.0,99.0,99.0
2006,1,5,0,0,278,6.6,8.1,99.0,99.0,99.0,999,1007.8,1.2,1.4,1.2,99.0,99.0
2006,1,5,1,0,281,7.6,9.3,99.0,99.0,99.0,999,1008.2,1.3,1.4,1.3,99.0,99.0
2006,1,5,2,0,289,7.2,8.9,99.0,99.0,99.0,999,1008.6,2.0,1.4,2.0,99.0,99.0
2006,1,5,3,0,297,7.5,9.8,99.0,99.0,99.0,999,1009.1,1.6,1.4,1.6,99.0,99.0
2006,1,5,4,0,298,8.5,10.3,99.0,99.0,99.0,999,1009.8,2.0,1.3,2.0,99.0,99.0
2006,1,5,5,0,301,7.7,9.3,99.0,99.0,99.0,999,1010.6,2.0,1.2,2.0,99.0,99.0
2006,1,5,6,0,302,7.5,10.2,99.0,99.0,99.0,999,1011.1,2.1,1.2,2.1,99.0,99.0
2006,1,5,7,0,306,8.6,10.2,99.0,99.0,99.0,999,1011.7,2.2,1.1,2.1,99.0,99.0
2006,1,5,8,0,316,7.5,8.1,99.0,99.0,99.0,999,1012.3,2.0,1.2,1.8,99.0,99.0
2006,1,5,9,0,316,8.3,9.5,99.0,99.0,99.0,999,1013.2,2.0,1.1,0.8,99.0,99.0
2006,1,5,10,0,322,8.9,10.5,99.0,99.0,99.0,999,1013.8,1.9,1.3,-1.1,99.0,99.0
2006,1,5,11,0,320,6.2,7.5,99.0,99.0,99.0,999,1014.4,1.4,1.2,-0.4,99.0,99.0
2006,1,5,12,0,336,6.3,7.8,99.0,99.0,99.0,999,1015.0,1.1,1.1,-0.3,99.0,99.0
2006,1,5,13,0,338,10.9,12.4,99.0,99.0,99.0,999,1015.9,0.5,1.3,-1.9,99.0,99.0
2006,1,5,14,0,325,7.8,9.6,99.0,99.0,99.0,999,1016.5,0.2,1.2,-2.9,99.0,99.0
2006,1,5,15,0,333,9.9,11.9,99.0,99.0,99.0,999,1017.3,0.2,1.4,-2.8,99.0,99.0
2006,1,5,16,0,336,10.0,13.1,99.0,99.0,99.0,999,1017.8,0.1,1.4,-3.6,99.0,99.0
2006,1,5,17,0,356,11.0,11.8,99.0,99.0,99.0,999,1017.6,-0.1,1.4,-3.6,99.0,99.0
2006,1,5,18,0,358,11.3,12.5,99.0,99.0,99.0,999,1017.5,-0.2,1.2,-3.6,99.0,99.0
2006,1,5,19,0,360,8.9,9.7,99.0,99.0,99.0,999,1017.3,-0.3,1.2,-2.8,99.0,99.0
2006,1,5,20,0,342,6.9,8.5,99.0,99.0,99.0,999,1017.6,-0.2,1.2,-2.7,99.0,99.0
2006,1,5,21,0,344,10.0,11.6,99.0,99.0,99.0,999,1018.3,-0.6,1.3,-4.1,99.0,99.0
2006,1,5,22,0,353,10.4,12.3,99.0,99.0,99.0,999,1019.1,-1.2,1.3,-5.2,99.0,99.0
2006,1,5,23,0,344,8.8,9.7,99.0,99.0,99.0,999,1019.5,-1.0,1.2,-5.2,99.0,99.0
2006,1,6,0,0,353,10.0,11.6,99.0,99.0,99.0,999,1020.0,-1.1,1.2,-4.8,99.0,99.0
2006,1,6,1,0,353,10.4,11.8,99.0,99.0,99.0,999,1020.3,-1.1,1.2,-4.9,99.0,99.0
2006,1,6,3,0,347,11.1,12.8,99.0,99.0,99.0,999,1020.9,-1.8,1.1,-5.5,99.0,99.0
2006,1,6,4,0,339,8.6,10.1,99.0,99.0,99.0,999,1021.1,-2.2,1.1,-5.7,99.0,99.0
2006,1,6,5,0,326,8.0,9.4,99.0,99.0,99.0,999,1021.4,-2.6,1.0,-6.1,99.0,99.0
2006,1,6,6,0,344,10.0,11.2,99.0,99.0,99.0,999,1021.6,-2.9,1.0,-7.0,99.0,99.0
2006,1,6,7,0,337,8.0,8.9,99.0,99.0,99.0,999,1021.6,-2.9,1.0,-7.2,99.0,99.0
2006,1,6,8,0,333,7.3,8.4,99.0,99.0,99.0,999,1021.8,-3.2,0.9,-7.3,99.0,99.0
2006,1,6,9,0,337,7.3,8.5,99.0,99.0,99.0,999,1021.8,-3.5,0.9,-7.2,99.0,99.0
2006,1,6,10,0,339,9.5,10.8,99.0,99.0,99.0,999,1022.6,-3.7,0.8,-7.7,99.0,99.0
2006,1,6,11,0,316,5.5,6.4,99.0,99.0,99.0,999,1021.6,-4.0,0.8,-8.2,99.0,99.0
2006,1,6,12,0,327,4.3,5.3,99.0,99.0,99.0,999,1021.8,-3.9,0.7,-8.4,99.0,99.0
2006,1,6,13,0,326,4.6,5.4,99.0,99.0,99.0,999,1022.0,-3.9,0.7,-8.4,99.0,99.0
2006,1,6,14,0,331,3.2,3.8,99.0,99.0,99.0,999,1022.0,-3.9,0.7,-8.3,99.0,99.0
2006,1,6,15,0,296,1.8,2.5,99.0,99.0,99.0,999,1021.8,-3.7,0.7,-7.9,99.0,99.0
2006,1,6,16,0,290,3.5,4.9,99.0,99.0,99.0,999,1020.9,-3.7,0.7,-7.8,99.0,99.0
2006,1,6,17,0,276,3.2,3.6,99.0,99.0,99.0,999,1019.4,-3.6,0.7,-7.6,99.0,99.0
2006,1,6,18,0,232,4.2,4.9,99.0,99.0,99.0,999,1018.2,-3.2,0.7,-6.7,99.0,99.0
2006,1,6,19,0,238,4.9,5.9,99.0,99.0,99.0,999,1017.6,-2.7,0.6,-6.1,99.0,99.0
2006,1,6,20,0,231,5.7,7.3,99.0,99.0,99.0,999,1016.8,-2.0,0.8,-5.2,99.0,99.0
2006,1,6,21,0,217,5.7,6.5,99.0,99.0,99.0,999,1015.6,-1.9,0.8,-5.1,99.0,99.0
2006,1,6,22,0,211,6.4,7.4,99.0,99.0,99.0,999,1014.2,-1.7,0.7,-4.9,99.0,99.0
2006,1,6,23,0,207,5.4,6.2,99.0,99.0,99.0,999,1013.0,-1.8,0.6,-4.4,99.0,99.0
2006,1,7,0,0,198,6.5,7.4,99.0,99.0,99.0,999,1011.3,-1.6,0.7,-3.8,99.0,99.0
2006,1,7,1,0,206,6.5,7.7,99.0,99.0,99.0,999,1010.5,-1.5,0.6,-3.6,99.0,99.0
2006,1,7,2,0,205,4.7,6.1,99.0,99.0,99.0,999,1009.4,-1.3,0.7,-3.3,99.0,99.0
2006,1,7,3,0,216,7.7,8.4,99.0,99.0,99.0,999,1007.9,-1.2,0.5,-3.1,99.0,99.0
2006,1,7,4,0,225,7.9,9.8,99.0,99.0,99.0,999,1007.4,-1.3,0.7,-2.8,99.0,99.0
2006,1,7,5,0,234,6.8,9.3,99.0,99.0,99.0,999,1006.6,-1.2,0.6,-3.1,99.0,99.0
2006,1,7,6,0,240,7.2,9.1,99.0,99.0,99.0,999,1005.8,-1.2,0.6,-2.9,99.0,99.0
2006,1,7,7,0,257,5.5,6.9,99.0,99.0,99.0,999,1005.6,-1.0,0.5,-2.4,99.0,99.0
2006,1,7,8,0,254,4.1,5.1,99.0,99.0,99.0,999,1005.3,-1.0,0.5,-1.7,99.0,99.0
2006,1,7,9,0,259,3.9,4.6,99.0,99.0,99.0,999,1004.9,-0.9,0.6,-1.3,99.0,99.0
2006,1,7,10,0,256,4.4,5.7,99.0,99.0,99.0,999,1004.1,-0.6,0.5,-1.4,99.0,99.0
2006,1,7,11,0,242,2.9,3.2,99.0,99.0,99.0,999,1004.1,-0.4,0.5,-1.0,99.0,99.0
2006,1,7,12,0,247,4.2,5.5,99.0,99.0,99.0,999,1004.5,-0.2,0.5,-0.9,99.0,99.0
2006,1,7,13,0,236,4.2,4.7,99.0,99.0,99.0,999,1004.6,-0.3,0.5,-0.4,99.0,99.0
2006,1,7,14,0,238,3.9,4.8,99.0,99.0,99.0,999,1004.9,-0.4,0.6,-0.4,99.0,99.0
2006,1,7,15,0,254,3.1,3.9,99.0,99.0,99.0,999,1004.9,-0.4,0.7,-0.4,99.0,99.0
2006,1,7,16,0,290,3.6,5.1,99.0,99.0,99.0,999,1005.5,0.0,0.7,0.0,99.0,99.0
2006,1,7,17,0,288,3.4,4.5,99.0,99.0,99.0,999,1005.0,0.1,0.6,0.0,99.0,99.0
2006,1,7,18,0,294,5.5,6.8,99.0,99.0,99.0,999,1004.7,0.4,0.5,-0.6,99.0,99.0
2006,1,7,19,0,293,4.0,5.2,99.0,99.0,99.0,999,1004.8,0.6,0.6,-0.7,99.0,99.0
2006,1,7,20,0,291,5.8,7.2,99.0,99.0,99.0,999,1005.5,0.9,0.6,-0.6,99.0,99.0
2006,1,7,21,0,284,5.5,6.4,99.0,99.0,99.0,999,1006.3,1.0,0.7,-1.1,99.0,99.0
2006,1,7,22,0,279,4.5,5.1,99.0,99.0,99.0,999,1007.2,1.0,0.6,-0.8,99.0,99.0
2006,1,7,23,0,278,4.4,5.2,99.0,99.0,99.0,999,1007.9,0.9,0.6,-0.6,99.0,99.0
2006,1,8,0,0,277,3.9,4.5,99.0,99.0,99.0,999,1008.9,1.0,0.8,-0.5,99.0,99.0
2006,1,8,1,0,281,2.8,3.3,99.0,99.0,99.0,999,1009.2,0.9,0.9,-0.5,99.0,99.0
2006,1,8,2,0,292,1.8,2.1,99.0,99.0,99.0,999,1009.4,1.0,0.9,-0.7,99.0,99.0
2006,1,8,3,0,272,1.9,2.1,99.0,99.0,99.0,999,1009.7,1.0,0.9,-0.8,99.0,99.0
2006,1,8,4,0,304,1.2,1.4,99.0,99.0,99.0,999,1009.9,0.9,0.9,-0.8,99.0,99.0
2006,1,8,5,0,19,0.4,0.6,99.0,99.0,99.0,999,1010.1,0.9,1.0,-0.4,99.0,99.0
2006,1,8,6,0,0,0.0,0.0,99.0,99.0,99.0,999,1010.2,0.6,1.1,-0.5,99.0,99.0
2006,1,8,7,0,0,0.0,0.0,99.0,99.0,99.0,999,1010.4,0.6,1.1,0.0,99.0,99.0
2006,1,8,8,0,57,3.4,3.5,99.0,99.0,99.0,999,1010.2,1.0,1.1,-0.3,99.0,99.0
2006,1,8,9,0,70,5.0,5.3,99.0,99.0,99.0,999,1009.8,1.5,1.0,0.1,99.0,99.0
2006,1,8,10,0,97,4.0,4.4,99.0,99.0,99.0,999,1010.1,1.8,1.1,-0.7,99.0,99.0
2006,1,8,11,0,104,6.1,6.3,99.0,99.0,99.0,999,1009.0,1.9,1.0,-1.6,99.0,99.0
2006,1,8,12,0,100,8.2,8.6,99.0,99.0,99.0,999,1008.1,2.2,0.9,-1.4,99.0,99.0
2006,1,8,13,0,116,10.1,10.9,99.0,99.0,99.0,999,1008.2,2.3,1.1,0.0,99.0,99.0
2006,1,8,14,0,102,10.8,11.8,99.0,99.0,99.0,999,1007.8,2.2,1.0,-0.3,99.0,99.0
2006,1,8,15,0,103,10.6,11.9,99.0,99.0,99.0,999,1007.9,2.2,0.9,-0.8,99.0,99.0
2006,1,8,16,0,98,10.9,12.1,99.0,99.0,99.0,999,1007.2,2.0,1.0,-0.9,99.0,99.0
2006,1,8,17,0,108,10.6,11.2,99.0,99.0,99.0,999,1006.3,1.9,1.0,-0.5,99.0,99.0
2006,1,8,18,0,95,10.0,10.8,99.0,99.0,99.0,999,1004.6,1.9,0.9,-0.6,99.0,99.0
2006,1,8,19,0,85,9.2,9.8,99.0,99.0,99.0,999,1002.9,2.0,0.9,-0.4,99.0,99.0
2006,1,8,20,0,71,8.6,9.5,99.0,99.0,99.0,999,1002.1,2.3,1.0,-0.2,99.0,99.0
2006,1,8,21,0,56,7.7,8.3,99.0,99.0,99.0,999,1002.4,2.5,1.4,0.4,99.0,99.0
2006,1,8,22,0,54,7.7,8.2,99.0,99.0,99.0,999,1003.0,2.6,1.4,0.8,99.0,99.0
2006,1,8,23,0,41,8.0,8.8,99.0,99.0,99.0,999,1003.4,2.8,1.3,0.9,99.0,99.0
2006,1,9,0,0,55,6.9,7.5,99.0,99.0,99.0,999,1004.2,2.9,1.1,1.7,99.0,99.0
2006,1,9,1,0,30,6.7,7.2,99.0,99.0,99.0,999,1004.6,2.7,1.1,1.9,99.0,99.0
2006,1,9,2,0,31,7.0,7.4,99.0,99.0,99.0,999,1005.4,2.4,1.3,2.0,99.0,99.0
2006,1,9,3,0,20,6.5,7.0,99.0,99.0,99.0,999,1006.0,1.8,1.4,1.7,99.0,99.0
2006,1,9,4,0,353,4.3,4.5,99.0,99.0,99.0,999,1006.5,1.6,1.4,1.6,99.0,99.0
2006,1,9,5,0,338,4.8,5.9,99.0,99.0,99.0,999,1007.4,1.6,1.4,1.6,99.0,99.0
2006,1,9,6,0,315,6.7,7.9,99.0,99.0,99.0,999,1008.1,1.3,1.3,1.2,99.0,99.0
2006,1,9,7,0,312,5.7,7.3,99.0,99.0,99.0,999,1009.3,0.7,1.3,999.0,99.0,99.0
2006,1,9,8,0,301,5.0,6.3,99.0,99.0,99.0,999,1011.4,0.9,1.4,0.9,99.0,99.0
2006,1,9,9,0,310,5.1,6.4,99.0,99.0,99.0,999,1012.8,0.7,1.4,0.7,99.0,99.0
2006,1,9,10,0,301,4.7,5.9,99.0,99.0,99.0,999,1014.0,0.8,1.4,0.7,99.0,99.0
2006,1,9,11,0,302,5.1,6.0,99.0,99.0,99.0,999,1014.6,0.8,1.4,0.7,99.0,99.0
2006,1,9,12,0,290,4.4,4.9,99.0,99.0,99.0,999,1016.0,0.9,1.4,0.6,99.0,99.0
2006,1,9,13,0,302,5.4,7.8,99.0,99.0,99.0,999,1017.4,0.9,1.4,0.1,99.0,99.0
2006,1,9,14,0,310,5.3,6.2,99.0,99.0,99.0,999,1019.2,0.6,1.5,-0.5,99.0,99.0
2006,1,9,15,0,298,4.9,6.1,99.0,99.0,99.0,999,1020.8,0.7,1.4,999.0,99.0,99.0
2006,1,9,16,0,289,4.4,5.1,99.0,99.0,99.0,999,1022.2,1.1,1.4,-0.9,99.0,99.0
2006,1,9,17,0,304,5.9,6.9,99.0,99.0,99.0,999,1022.8,1.1,1.3,-2.5,99.0,99.0
2006,1,9,18,0,289,5.0,6.0,99.0,99.0,99.0,999,1023.3,1.0,1.4,-3.5,99.0,99.0
2006,1,9,19,0,298,5.1,6.2,99.0,99.0,99.0,999,1023.5,0.7,1.3,-3.8,99.0,99.0
2006,1,9,20,0,280,6.7,7.8,99.0,99.0,99.0,999,1024.2,0.5,1.3,-4.9,99.0,99.0
2006,1,9,21,0,291,6.5,7.9,99.0,99.0,99.0,999,1025.3,0.4,1.3,999.0,99.0,99.0
2006,1,9,22,0,288,3.8,4.6,99.0,99.0,99.0,999,1026.1,0.3,1.3,-6.8,99.0,99.0
2006,1,9,23,0,272,5.9,7.8,99.0,99.0,99.0,999,1026.4,0.2,1.2,-8.1,99.0,99.0
2006,1,10,0,0,268,6.2,7.1,99.0,99.0,99.0,999,1027.4,-0.2,1.2,-8.5,99.0,99.0
2006,1,10,1,0,288,3.6,4.3,99.0,99.0,99.0,999,1028.0,-0.4,1.2,-8.3,99.0,99.0
2006,1,10,2,0,297,4.4,5.2,99.0,99.0,99.0,999,1028.5,-0.7,1.2,-8.3,99.0,99.0
2006,1,10,3,0,278,1.1,1.4,99.0,99.0,99.0,999,1028.8,-1.2,1.1,-7.6,99.0,99.0
2006,1,10,4,0,211,2.1,2.2,99.0,99.0,99.0,999,1029.1,-1.5,1.1,-6.5,99.0,99.0
2006,1,10,5,0,217,2.1,2.5,99.0,99.0,99.0,999,1029.1,-2.3,1.1,-6.5,99.0,99.0
2006,1,10,6,0,229,2.5,2.9,99.0,99.0,99.0,999,1029.3,-2.6,1.1,-6.5,99.0,99.0
2006,1,10,7,0,215,3.9,4.3,99.0,99.0,99.0,999,1028.9,-2.9,1.0,-6.1,99.0,99.0
2006,1,10,8,0,211,4.3,4.9,99.0,99.0,99.0,999,1028.6,-3.3,1.0,-5.9,99.0,99.0
2006,1,10,9,0,235,2.9,3.5,99.0,99.0,99.0,999,1028.9,-3.4,0.9,-6.3,99.0,99.0
2006,1,10,10,0,251,2.9,3.3,99.0,99.0,99.0,999,1028.6,-4.0,0.9,-6.2,99.0,99.0
2006,1,10,11,0,230,2.9,3.3,99.0,99.0,99.0,999,1028.2,-4.2,0.8,-6.1,99.0,99.0
2006,1,10,12,0,222,5.5,6.2,99.0,99.0,99.0,999,1028.2,-4.0,0.7,-5.9,99.0,99.0
