#YYYY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2006,1,1,0,0,277,5.7,6.6,99.0,99.0,99.0,999,1008.4,1.5,1.8,1.2,99.0,99.0
2006,1,1,1,0,266,5.6,6.7,99.0,99.0,99.0,999,1008.9,1.2,1.8,1.1,99.0,99.0
2006,1,1,2,0,257,3.4,4.3,99.0,99.0,99.0,999,1009.2,1.0,1.8,0.9,99.0,99.0
2006,1,1,3,0,259,4.7,5.4,99.0,99.0,99.0,999,1009.4,0.9,1.8,0.8,99.0,99.0
2006,1,1,4,0,245,4.4,4.6,99.0,99.0,99.0,999,1009.7,0.8,1.8,0.7,99.0,99.0
2006,1,1,5,0,238,4.8,5.5,99.0,99.0,99.0,999,1010.3,0.7,1.8,0.6,99.0,99.0
2006,1,1,6,0,235,4.3,4.7,99.0,99.0,99.0,999,1011.0,0.7,1.8,0.4,99.0,99.0
2006,1,1,7,0,250,2.2,2.8,99.0,99.0,99.0,999,1010.8,0.2,1.7,0.0,99.0,99.0
2006,1,1,8,0,237,2.8,3.0,99.0,99.0,99.0,999,1011.9,0.1,1.7,-0.4,99.0,99.0
2006,1,1,9,0,212,3.0,3.4,99.0,99.0,99.0,999,1012.3,0.0,1.5,-0.5,99.0,99.0
2006,1,1,10,0,196,4.3,4.6,99.0,99.0,99.0,999,1012.2,0.1,1.5,-0.6,99.0,99.0
2006,1,1,11,0,221,1.5,1.8,99.0,99.0,99.0,999,1013.1,0.1,1.4,-0.3,99.0,99.0
2006,1,1,12,0,188,1.1,1.3,99.0,99.0,99.0,999,1012.8,0.1,1.5,0.0,99.0,99.0
2006,1,1,13,0,149,0.7,0.8,99.0,99.0,99.0,999,1012.7,0.1,1.5,0.0,99.0,99.0
2006,1,1,14,0,102,2.3,2.5,99.0,99.0,99.0,999,1012.7,0.5,1.4,0.4,99.0,99.0
2006,1,1,15,0,138,4.0,4.6,99.0,99.0,99.0,999,1013.4,1.2,1.5,1.0,99.0,99.0
