station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
SBM,2020-01-01,38.0,10.0,30.0,7.0,0.0,8.255275,191.80136,58.846294,75.54922,91.85776,0.0,14.772596,19.117477,,28.4,13.9,0.04
SBM,2020-01-02,45.0,35.0,35.1,28.0,0.0,9.384943,224.0355,66.78885,74.37029,82.65763,0.0,19.117477,25.200312,,28.2,13.7,0.04
SBM,2020-01-03,36.0,31.0,28.0,21.9,0.0,5.561448,308.20166,68.91293,72.43359,78.42651,0.0,13.90362,21.724405,,28.1,13.5,0.04
SBM,2020-01-04,31.0,25.0,26.1,17.6,0.0001,7.7338886,317.20993,65.685875,74.13326,92.80228,,15.641572,22.593382,,27.9,13.3,0.04
SBM,2020-01-05,36.0,23.0,28.9,19.0,0.0,11.818077,243.1749,58.22342,74.74771,84.52732,0.0,24.331335,39.972908,,27.7,13.1,0.04
SBM,2020-01-06,39.0,26.0,24.1,16.0,0.0,10.60151,263.96826,48.06349,64.64812,75.5878,0.0,21.724405,32.152122,,27.6,12.9,0.03
SBM,2020-01-07,38.0,20.0,26.1,6.1,0.0001,12.860848,267.07785,45.593834,63.643547,78.57606,,25.200312,33.0211,,27.4,12.7,0.03
SBM,2020-01-08,25.0,8.0,17.1,-2.9,0.0001,8.950456,314.3916,46.308224,57.056057,71.530495,,20.85543,30.41417,,27.3,12.5,0.04
SBM,2020-01-09,49.0,25.0,41.0,18.0,0.05,11.5573845,165.2335,69.50987,77.69634,85.8089,,20.85543,30.41417,,27.2,12.3,0.03
SBM,2020-01-10,43.0,30.0,37.0,24.1,0.0001,7.4731956,336.31393,72.43028,81.249855,92.21943,,14.772596,25.200312,,27.1,12.1,0.04
SBM,2020-01-11,33.0,20.0,30.0,12.0,0.0001,15.467777,11.054263,65.17697,77.984886,92.21943,,21.724405,34.75905,,27.0,12.0,0.03
SBM,2020-01-12,30.0,14.0,27.0,8.1,0.0001,5.7352433,15.37483,65.58253,75.32746,92.49329,,13.034643,19.117477,,26.9,11.8,0.04
SBM,2020-01-13,34.0,27.0,28.9,21.9,0.0001,5.561448,224.24179,71.477684,81.99696,95.612465,,14.772596,22.593382,,26.8,11.7,0.03
SBM,2020-01-14,36.0,31.0,32.0,25.0,0.05,8.77666,232.5117,69.277664,81.00411,92.287315,,18.2485,26.069286,,26.7,11.6,0.03
SBM,2020-01-15,36.0,18.0,28.4,18.0,0.0,5.6483455,325.33005,74.077034,80.58805,89.1155,0.0,14.772596,23.462358,,26.6,11.5,0.04
