#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2018,01,01,00,00,282,7.1,9.0,99.00,99.00,99.00,999,1036.2,-16.2,999.0,-24.1,99.0,99.00
2018,01,01,01,00,279,6.8,9.1,99.00,99.00,99.00,999,1036.5,-17.5,999.0,-25.0,99.0,99.00
2018,01,01,02,00,286,6.9,7.9,99.00,99.00,99.00,999,1036.7,-19.0,999.0,-25.2,99.0,99.00
2018,01,01,03,00,288,7.8,9.0,99.00,99.00,99.00,999,1037.0,-19.6,999.0,-25.3,99.0,99.00
2018,01,01,04,00,292,8.9,10.6,99.00,99.00,99.00,999,1037.2,-20.0,999.0,-25.9,99.0,99.00
2018,01,01,05,00,293,7.5,8.8,99.00,99.00,99.00,999,1037.6,-20.5,999.0,-26.2,99.0,99.00
2018,01,01,06,00,290,6.3,8.1,99.00,99.00,99.00,999,1037.6,-20.9,999.0,-26.2,99.0,99.00
2018,01,01,07,00,284,7.9,10.2,99.00,99.00,99.00,999,1037.3,-21.2,999.0,-26.4,99.0,99.00
2018,01,01,08,00,285,10.5,12.8,99.00,99.00,99.00,999,1037.2,-21.3,999.0,-26.5,99.0,99.00
2018,01,01,09,00,285,11.5,13.4,99.00,99.00,99.00,999,1037.1,-21.6,999.0,-26.7,99.0,99.00
2018,01,01,10,00,286,11.5,13.3,99.00,99.00,99.00,999,1037.1,-21.8,999.0,-26.8,99.0,99.00
2018,01,01,11,00,281,10.0,11.9,99.00,99.00,99.00,999,1037.2,-22.0,999.0,-26.8,99.0,99.00
2018,01,01,12,00,281,9.8,11.6,99.00,99.00,99.00,999,1037.4,-22.2,999.0,-26.6,99.0,99.00
2018,01,01,13,00,280,9.1,10.9,99.00,99.00,99.00,999,1038.0,-22.1,999.0,-26.0,99.0,99.00
2018,01,01,14,00,281,8.1,9.4,99.00,99.00,99.00,999,1038.5,-22.1,999.0,-25.8,99.0,99.00
2018,01,01,15,00,281,9.2,10.9,99.00,99.00,99.00,999,1038.9,-21.4,999.0,-25.4,99.0,99.00
2018,01,01,16,00,287,7.8,9.2,99.00,99.00,99.00,999,1039.5,-20.2,999.0,-24.9,99.0,99.00
2018,01,01,17,00,282,7.6,9.9,99.00,99.00,99.00,999,1039.2,-19.0,999.0,-23.6,99.0,99.00
2018,01,01,18,00,278,6.7,7.7,99.00,99.00,99.00,999,1038.6,-17.9,999.0,-23.1,99.0,99.00
2018,01,01,19,00,297,6.8,8.0,99.00,99.00,99.00,999,1038.3,-17.0,999.0,-22.6,99.0,99.00
2018,01,01,20,00,279,5.4,6.7,99.00,99.00,99.00,999,1037.8,-16.0,999.0,-21.8,99.0,99.00
2018,01,01,21,00,273,6.7,8.3,99.00,99.00,99.00,999,1037.8,-15.5,999.0,-21.7,99.0,99.00
2018,01,01,22,00,267,4.8,6.0,99.00,99.00,99.00,999,1037.9,-15.2,999.0,-20.9,99.0,99.00
2018,01,01,23,00,263,3.8,4.5,99.00,99.00,99.00,999,1038.2,-15.9,999.0,-21.3,99.0,99.00
2018,01,02,00,00,271,6.8,9.0,99.00,99.00,99.00,999,1038.2,-16.3,999.0,-22.2,99.0,99.00
2018,01,02,01,00,275,5.9,7.6,99.00,99.00,99.00,999,1038.0,-16.5,999.0,-22.5,99.0,99.00
2018,01,02,02,00,268,5.4,7.1,99.00,99.00,99.00,999,1037.8,-16.6,999.0,-22.5,99.0,99.00
2018,01,02,03,00,280,8.2,9.6,99.00,99.00,99.00,999,1037.6,-17.0,999.0,-23.2,99.0,99.00
2018,01,02,04,00,265,7.6,9.2,99.00,99.00,99.00,999,1037.2,-17.4,999.0,-23.3,99.0,99.00
2018,01,02,05,00,269,10.5,12.4,99.00,99.00,99.00,999,1036.7,-17.8,999.0,-23.7,99.0,99.00
2018,01,02,06,00,265,10.3,11.6,99.00,99.00,99.00,999,1036.3,-18.1,999.0,-24.1,99.0,99.00
2018,01,02,07,00,270,8.1,9.9,99.00,99.00,99.00,999,1036.0,-18.1,999.0,-24.3,99.0,99.00
2018,01,02,08,00,262,6.8,8.4,99.00,99.00,99.00,999,1035.8,-18.0,999.0,-23.6,99.0,99.00
2018,01,02,09,00,267,5.3,6.2,99.00,99.00,99.00,999,1035.4,-17.6,999.0,-23.4,99.0,99.00
2018,01,02,10,00,261,7.2,8.4,99.00,99.00,99.00,999,1034.6,-17.4,999.0,-23.5,99.0,99.00
2018,01,02,11,00,261,6.9,8.2,99.00,99.00,99.00,999,1034.1,-17.5,999.0,-23.9,99.0,99.00
2018,01,02,12,00,263,6.6,8.4,99.00,99.00,99.00,999,1033.3,-16.3,999.0,-24.0,99.0,99.00
2018,01,02,13,00,256,5.6,6.8,99.00,99.00,99.00,999,1032.8,-16.4,999.0,-24.5,99.0,99.00
2018,01,02,14,00,246,6.0,6.8,99.00,99.00,99.00,999,1032.3,-15.9,999.0,-24.7,99.0,99.00
2018,01,02,15,00,247,6.7,7.8,99.00,99.00,99.00,999,1031.7,-15.4,999.0,-22.5,99.0,99.00
2018,01,02,16,00,249,7.2,9.0,99.00,99.00,99.00,999,1031.0,-13.8,999.0,-21.7,99.0,99.00
2018,01,02,17,00,267,6.9,8.2,99.00,99.00,99.00,999,1029.8,-12.6,999.0,-21.2,99.0,99.00
2018,01,02,18,00,239,9.2,10.2,99.00,99.00,99.00,999,1027.9,-11.7,999.0,-20.8,99.0,99.00
2018,01,02,19,00,240,9.4,11.2,99.00,99.00,99.00,999,1026.0,-10.6,999.0,-22.7,99.0,99.00
2018,01,02,20,00,229,11.0,12.4,99.00,99.00,99.00,999,1024.4,-10.3,999.0,-22.2,99.0,99.00
2018,01,02,21,00,234,8.1,9.4,99.00,99.00,99.00,999,1023.6,-10.3,999.0,-21.7,99.0,99.00
2018,01,02,22,00,217,7.3,9.5,99.00,99.00,99.00,999,1022.4,-10.5,999.0,-21.0,99.0,99.00
2018,01,02,23,00,210,8.1,9.7,99.00,99.00,99.00,999,1021.6,-11.0,999.0,-20.4,99.0,99.00
2018,01,03,00,00,219,8.8,10.9,99.00,99.00,99.00,999,1020.8,-11.9,999.0,-20.7,99.0,99.00
2018,01,03,01,00,224,8.7,10.9,99.00,99.00,99.00,999,1020.1,-12.4,999.0,-19.8,99.0,99.00
2018,01,03,02,00,223,11.7,14.1,99.00,99.00,99.00,999,1018.1,-13.3,999.0,-19.9,99.0,99.00
2018,01,03,03,00,236,11.0,13.5,99.00,99.00,99.00,999,1017.9,-13.7,999.0,-20.1,99.0,99.00
2018,01,03,04,00,244,11.7,14.7,99.00,99.00,99.00,999,1017.1,-13.7,999.0,-19.7,99.0,99.00
2018,01,03,05,00,236,9.4,11.3,99.00,99.00,99.00,999,1017.1,-13.9,999.0,-17.9,99.0,99.00
2018,01,03,06,00,241,7.9,10.3,99.00,99.00,99.00,999,1016.7,-13.7,999.0,-17.3,99.0,99.00
2018,01,03,07,00,241,7.2,8.9,99.00,99.00,99.00,999,1016.1,-13.0,999.0,-16.7,99.0,99.00
2018,01,03,08,00,248,7.1,8.2,99.00,99.00,99.00,999,1015.8,-12.6,999.0,-16.4,99.0,99.00
2018,01,03,09,00,245,7.2,9.3,99.00,99.00,99.00,999,1015.5,-12.4,999.0,-15.9,99.0,99.00
2018,01,03,10,00,251,5.7,6.5,99.00,99.00,99.00,999,1015.6,-12.2,999.0,-14.8,99.0,99.00
2018,01,03,11,00,266,5.2,6.2,99.00,99.00,99.00,999,1015.7,-11.7,999.0,-14.2,99.0,99.00
2018,01,03,12,00,270,5.9,6.8,99.00,99.00,99.00,999,1016.1,-11.2,999.0,-14.1,99.0,99.00
2018,01,03,13,00,278,6.0,6.6,99.00,99.00,99.00,999,1016.0,-11.0,999.0,-14.0,99.0,99.00
2018,01,03,14,00,283,4.8,5.9,99.00,99.00,99.00,999,1016.4,-10.7,999.0,-13.8,99.0,99.00
2018,01,03,15,00,304,6.6,9.0,99.00,99.00,99.00,999,1016.9,-10.4,999.0,-14.3,99.0,99.00
2018,01,03,16,00,300,8.0,10.6,99.00,99.00,99.00,999,1017.4,-10.1,999.0,-14.6,99.0,99.00
2018,01,03,17,00,306,9.0,11.2,99.00,99.00,99.00,999,1017.8,-10.4,999.0,-15.6,99.0,99.00
2018,01,03,18,00,307,7.3,9.0,99.00,99.00,99.00,999,1017.9,-10.4,999.0,-15.2,99.0,99.00
2018,01,03,19,00,294,7.9,9.5,99.00,99.00,99.00,999,1017.8,-10.5,999.0,-15.8,99.0,99.00
2018,01,03,20,00,311,8.8,10.8,99.00,99.00,99.00,999,1018.1,-10.5,999.0,-16.6,99.0,99.00
2018,01,03,21,00,325,7.0,8.5,99.00,99.00,99.00,999,1018.9,-10.0,999.0,-15.8,99.0,99.00
2018,01,03,22,00,314,4.9,5.6,99.00,99.00,99.00,999,1020.0,-9.9,999.0,-16.2,99.0,99.00
2018,01,03,23,00,297,4.5,5.3,99.00,99.00,99.00,999,1020.8,-10.6,999.0,-17.0,99.0,99.00
2018,01,04,00,00,293,4.2,5.3,99.00,99.00,99.00,999,1021.5,-11.4,999.0,-17.4,99.0,99.00
2018,01,04,01,00,294,5.0,5.7,99.00,99.00,99.00,999,1022.5,-11.7,999.0,-17.3,99.0,99.00
2018,01,04,02,00,295,5.9,7.4,99.00,99.00,99.00,999,1022.9,-12.2,999.0,-17.8,99.0,99.00
2018,01,04,03,00,324,7.7,8.9,99.00,99.00,99.00,999,1023.8,-12.8,999.0,-18.2,99.0,99.00
2018,01,04,04,00,324,8.0,10.3,99.00,99.00,99.00,999,1024.2,-13.5,999.0,-19.0,99.0,99.00
2018,01,04,05,00,325,6.4,7.9,99.00,99.00,99.00,999,1024.6,-14.5,999.0,-19.6,99.0,99.00
2018,01,04,06,00,316,6.2,7.8,99.00,99.00,99.00,999,1024.6,-15.1,999.0,-20.0,99.0,99.00
2018,01,04,07,00,320,7.4,9.6,99.00,99.00,99.00,999,1024.8,-15.1,999.0,-20.4,99.0,99.00
2018,01,04,08,00,316,6.6,7.6,99.00,99.00,99.00,999,1025.1,-15.3,999.0,-20.1,99.0,99.00
2018,01,04,09,00,298,6.2,7.9,99.00,99.00,99.00,999,1025.6,-16.2,999.0,-20.8,99.0,99.00
2018,01,04,10,00,309,6.5,8.2,99.00,99.00,99.00,999,1025.7,-16.3,999.0,-20.1,99.0,99.00
2018,01,04,11,00,322,7.1,9.2,99.00,99.00,99.00,999,1026.2,-16.2,999.0,-20.6,99.0,99.00
2018,01,04,12,00,325,7.2,9.8,99.00,99.00,99.00,999,1026.5,-16.3,999.0,-21.2,99.0,99.00
2018,01,04,13,00,317,7.7,9.1,99.00,99.00,99.00,999,1026.9,-16.6,999.0,-21.4,99.0,99.00
2018,01,04,14,00,324,8.6,11.5,99.00,99.00,99.00,999,1027.2,-16.6,999.0,-21.6,99.0,99.00
