station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
SBM,2005-01-01,34.0,21.0,32.0,14.0,0.14,9.053036,70.66576,71.1197,78.41194,93.028,,13.0,19.0,,28.4,13.9,0.04
SBM,2005-01-02,37.0,28.0,36.0,23.0,0.49,8.642708,283.39117,78.78851,87.15318,100.0,,13.0,18.0,,28.2,13.7,0.04
SBM,2005-01-03,28.0,22.0,21.92,15.08,0.0,6.6378226,0.79138255,71.0354,75.29929,81.25164,,10.0,,,28.1,13.5,0.04
SBM,2005-01-04,28.0,19.0,19.94,12.0,0.0001,7.4968596,4.4764557,54.815193,72.0783,85.7397,,16.0,23.0,,27.9,13.3,0.04
SBM,2005-01-05,25.0,17.0,17.1,8.96,0.0001,13.964411,41.429737,64.94849,72.03268,84.40636,,20.0,26.0,,27.7,13.1,0.04
SBM,2005-01-06,25.0,2.0,21.02,1.0,0.22,8.294487,352.28058,71.2428,86.322365,96.2625,,14.0,,,27.6,12.9,0.03
SBM,2005-01-07,21.0,-1.0,17.6,-2.92,0.0,6.72575,210.84344,73.555244,84.65249,91.3736,,11.0,,,27.4,12.7,0.03
SBM,2005-01-08,21.0,8.0,17.6,6.8,0.0001,4.1221213,269.54294,72.9289,79.59041,92.5656,,8.0,,,27.3,12.5,0.04
SBM,2005-01-09,31.0,21.0,28.94,17.96,0.0,8.508025,215.83513,74.8073,89.46308,100.0,,13.0,25.0,,27.2,12.3,0.03
SBM,2005-01-10,30.0,15.0,24.1,8.96,0.0,5.798325,301.7863,67.57,76.38037,85.7397,,13.0,,,27.1,12.1,0.04
SBM,2005-01-11,34.0,22.0,33.8,19.0,0.01,6.374738,54.60018,79.6214,88.952385,100.0,,10.0,,,27.0,12.0,0.03
SBM,2005-01-12,41.0,34.0,39.92,32.0,0.75,7.273552,170.43689,86.593,96.64753,100.0,,10.0,,,26.9,11.8,0.04
SBM,2005-01-13,35.0,5.0,32.0,-5.1,0.0,11.789486,312.42664,51.9327,71.567635,93.028,,18.0,26.0,,26.8,11.7,0.03
SBM,2005-01-14,5.0,-4.0,-7.96,-13.0,0.0,10.891835,294.95718,44.3877,55.06547,64.369446,,17.0,24.0,,26.7,11.6,0.03
SBM,2005-01-15,9.0,-3.0,-9.0,-14.1,0.0,9.953245,291.93228,42.436,50.03067,58.747,,13.0,17.0,,26.6,11.5,0.04
SBM,2005-01-16,11.0,-2.0,-7.06,-13.0,0.0,7.2930913,304.90143,40.9247,53.6593,64.80784,,12.0,,,26.5,11.4,0.03
SBM,2005-01-17,5.0,-3.0,-9.0,-11.92,0.0,7.91626,327.53528,46.6198,57.705536,67.74056,,15.0,20.0,,26.5,11.3,0.04
SBM,2005-01-18,23.0,-4.0,18.0,-9.04,0.03,12.859735,198.6866,36.441223,66.01386,92.5656,,28.0,37.0,,26.4,11.2,0.03
SBM,2005-01-19,30.0,15.0,26.1,6.08,0.0001,10.279833,330.18243,54.95443,69.44515,88.116135,,19.0,27.0,,26.4,11.1,0.04
SBM,2005-01-20,25.0,15.0,21.2,6.08,0.03,7.7550592,57.14309,61.8513,77.54895,92.5656,,14.0,,,26.3,11.1,0.04
SBM,2005-01-21,22.0,16.0,19.4,6.08,0.08,8.884857,124.68872,59.10292,73.7705,92.62583,,12.0,18.0,,26.3,11.0,0.03
SBM,2005-01-22,22.0,8.0,19.4,-0.94,0.18,13.517795,34.667057,60.84251,80.12634,92.62583,,23.0,32.0,,26.3,11.0,0.04
SBM,2005-01-23,20.0,-3.0,8.1,-6.0,0.0,9.236567,249.9441,55.34518,69.00911,82.7371,,16.0,,,26.3,11.0,0.03
SBM,2005-01-24,29.0,18.0,19.94,10.9,0.0,8.0718775,264.74442,63.0955,71.37407,77.3219,,19.0,26.0,,26.3,10.9,0.03
SBM,2005-01-25,37.0,25.0,27.0,19.9,0.0,6.0153522,239.56969,66.35673,78.1733,88.0135,,14.0,18.0,,26.4,11.0,0.04
SBM,2005-01-26,31.0,11.0,26.6,1.0,0.0001,11.715981,10.050885,53.219112,67.549126,86.281944,,18.0,27.0,,26.4,11.0,0.03
SBM,2005-01-27,21.0,-1.0,16.0,-5.8,0.0001,2.9179986,300.01364,66.556526,78.14481,91.98912,,10.0,,,26.5,11.0,0.04
SBM,2005-01-28,30.0,-5.0,21.02,-2.2,0.0,6.037683,181.05814,62.9735,76.27051,91.92102,,13.0,,,26.5,11.1,0.03
SBM,2005-01-29,32.0,21.0,21.92,15.08,0.0,4.399163,1.8542482,55.7244,70.18851,80.9555,,8.0,,,26.6,11.1,0.04
SBM,2005-01-30,33.0,26.0,28.04,21.9,0.0,4.9204464,45.55608,75.4634,81.53905,86.281944,,8.0,,,26.7,11.2,0.03
SBM,2005-01-31,33.0,28.0,28.04,24.98,0.0,2.5345428,212.20781,74.62566,84.9038,92.22705,,5.0,,,26.8,11.3,0.04
SBM,2005-02-01,36.0,30.0,30.2,26.6,0.0,4.1933007,211.43742,74.8049,84.4843,92.9165,,7.0,,,26.9,11.4,0.03
SBM,2005-02-02,35.0,23.0,27.0,21.0,0.0,5.9211445,201.94704,63.91107,78.54686,88.2175,,9.0,,,27.0,11.5,0.03
SBM,2005-02-03,41.0,20.0,30.02,17.96,0.0,6.8227496,252.70718,64.4261,78.13281,100.0,,15.0,20.0,,27.2,11.6,0.03
SBM,2005-02-04,46.0,18.0,32.0,17.6,0.0,6.7117934,207.02539,55.3165,78.50724,100.0,,12.0,,,27.3,11.7,0.04
SBM,2005-02-05,42.0,30.0,32.0,28.9,0.0,8.36148,185.8543,62.03796,77.20425,92.2578,,13.0,,,27.5,11.9,0.03
SBM,2005-02-06,41.0,35.0,32.0,30.9,0.13,6.401256,189.17285,69.95581,82.606804,88.4699,,12.0,,,27.7,12.1,0.03
SBM,2005-02-07,37.0,27.0,32.0,21.9,0.23,5.3775296,19.030573,80.650055,87.72313,95.7497,,11.0,14.0,,27.8,12.2,0.03
SBM,2005-02-08,27.0,20.0,21.92,14.0,0.0,9.780879,15.114322,62.55473,72.848434,84.66954,,12.0,,,28.0,12.4,0.03
SBM,2005-02-09,26.0,18.0,19.4,12.0,0.08,7.4214935,337.54187,65.20819,80.16014,92.62583,,10.0,,,28.3,12.6,0.03
SBM,2005-02-10,29.0,10.0,16.0,7.0,0.0,7.0886254,290.41858,55.6946,72.22614,83.92345,,11.0,,,28.5,12.8,0.03
SBM,2005-02-11,38.0,21.0,27.0,15.1,0.0001,10.139567,262.14935,61.08228,72.45298,92.62583,,15.0,22.0,,28.7,13.0,0.04
SBM,2005-02-12,44.0,28.0,28.94,23.0,0.0,4.7885556,290.3812,43.015156,74.30311,96.38,,14.0,20.0,,29.0,13.3,0.03
SBM,2005-02-13,36.0,27.0,32.0,26.6,0.24,11.765527,104.97837,69.4636,81.94828,93.028,,20.0,28.0,,29.2,13.5,0.03
SBM,2005-02-14,36.0,32.0,33.1,30.0,0.29,10.132589,273.7446,80.5077,87.96125,100.0,,18.0,28.0,,29.5,13.8,0.03
SBM,2005-02-15,38.0,28.0,34.0,17.96,0.0,8.2979765,290.08206,58.07781,71.985016,89.1558,,12.0,,,29.8,14.0,0.04
SBM,2005-02-16,30.0,18.0,23.0,6.08,0.0001,9.124913,289.4663,56.4259,69.10217,87.63892,,15.0,20.0,,30.1,14.3,0.03
SBM,2005-02-17,19.0,10.0,7.0,-0.94,0.0001,10.868109,302.26462,48.70176,58.974533,70.19476,,17.0,21.0,,30.4,14.6,0.04
SBM,2005-02-18,22.0,7.0,10.94,-0.94,0.0001,7.586183,268.95844,46.97421,58.965523,72.33842,,12.0,,,30.7,14.9,0.03
SBM,2005-02-19,30.0,14.0,24.1,10.4,0.0001,5.509421,298.47995,50.6624,65.54466,88.7259,,10.0,,,31.0,15.2,0.04
SBM,2005-02-20,33.0,27.0,32.0,24.8,0.22,8.5582695,122.0856,86.49047,92.97662,100.0,,17.0,24.0,,31.4,15.5,0.03
SBM,2005-02-21,33.0,24.0,30.2,19.0,0.0,6.9986043,293.84454,66.108475,77.54143,92.97254,,12.0,17.0,,31.7,15.8,0.04
SBM,2005-02-22,29.0,12.0,21.2,12.0,0.0001,6.3663645,303.45355,55.6946,72.6108,84.0618,,12.0,,,32.1,16.1,0.03
SBM,2005-02-23,29.0,3.0,17.6,-0.04,0.28,3.325192,290.135,57.626095,77.93425,100.0,,9.0,,,32.4,16.4,0.04
SBM,2005-02-24,30.0,2.0,18.0,1.0,0.0,3.4187021,250.91333,53.1254,72.14303,91.49473,,8.0,,,32.8,16.7,0.04
SBM,2005-02-25,32.0,13.0,26.6,15.08,0.02,5.359386,294.0394,68.397156,81.55618,100.0,,13.0,,,33.1,17.1,0.04
SBM,2005-02-26,27.0,8.0,17.6,3.0,0.0001,5.7445917,24.389498,61.937336,71.060265,87.24699,,13.0,,,33.5,17.4,0.04
SBM,2005-02-27,32.0,9.0,30.92,6.98,0.07,8.891137,161.95781,65.8357,82.05543,100.0,,17.0,27.0,,33.9,17.8,0.04
SBM,2005-02-28,32.0,22.0,30.2,17.06,0.01,9.199581,346.7193,77.637596,87.58574,100.0,,16.0,22.0,,34.3,18.1,0.04
SBM,2005-03-01,26.0,11.0,18.0,-0.94,0.0001,12.340545,330.37817,46.5083,65.49361,88.37287,,18.0,26.0,,34.7,18.5,0.04
SBM,2005-03-02,24.0,4.0,10.94,-2.02,0.0,7.3866014,315.35184,49.871,64.63813,76.0887,,14.0,,,35.0,18.8,0.05
SBM,2005-03-03,29.0,-1.0,10.04,-4.0,0.0,4.2044663,258.83875,36.8301,62.607136,83.19131,,9.0,,,35.4,19.2,0.04
SBM,2005-03-04,35.0,14.0,33.8,6.98,0.0001,5.654571,168.11714,59.53118,79.474304,100.0,,11.0,,,35.8,19.5,0.05
SBM,2005-03-05,41.0,30.0,32.0,26.96,0.0001,7.992324,260.06296,61.6252,82.64162,100.0,,14.0,21.0,,36.2,19.9,0.04
SBM,2005-03-06,53.0,36.0,37.04,28.9,0.0,10.808095,235.10744,52.1061,66.09861,88.56685,,18.0,29.0,,36.6,20.3,0.05
SBM,2005-03-07,51.0,16.0,41.0,3.0,0.01,12.808095,329.078,51.361034,69.551125,93.028,,24.0,31.0,,37.0,20.6,0.04
SBM,2005-03-08,25.0,14.0,7.0,1.0,0.0,10.246336,314.7865,41.297794,52.085056,66.95926,,14.0,18.0,,37.4,21.0,0.05
SBM,2005-03-09,25.0,13.0,9.0,-0.04,0.0,7.726448,304.3207,39.775715,51.50025,61.2865,,12.0,19.0,,37.8,21.3,0.04
SBM,2005-03-10,30.0,18.0,27.0,8.06,0.02,7.879972,186.32181,54.3378,78.74344,92.8597,,13.0,,,38.2,21.7,0.05
SBM,2005-03-11,32.0,17.0,26.6,14.0,0.21,9.15492,273.6469,53.6033,83.09725,100.0,,17.0,26.0,,38.6,22.1,0.05
SBM,2005-03-12,25.0,7.0,21.2,-2.92,0.0001,9.764132,302.60004,44.3825,59.145763,88.4741,,18.0,24.0,,39.0,22.4,0.04
SBM,2005-03-13,25.0,-2.0,8.1,-7.1,0.0,5.5443125,278.18436,37.810875,58.593803,83.19131,,10.0,,,39.4,22.8,0.05
SBM,2005-03-14,33.0,-0.0,17.1,-4.0,0.0,2.7069085,274.38394,46.58699,66.53574,83.19131,,10.0,,,39.7,23.2,0.05
SBM,2005-03-15,33.0,13.0,18.0,10.9,0.0001,6.3224006,274.62952,51.325,69.96711,91.7227,,14.0,,,40.1,23.5,0.05
SBM,2005-03-16,38.0,13.0,28.94,10.9,0.0001,6.2065597,274.36646,46.07908,74.86919,100.0,,13.0,19.0,,40.5,23.9,0.04
SBM,2005-03-17,33.0,20.0,25.0,17.96,0.0,6.055827,35.711784,60.972164,78.13537,100.0,,11.0,,,40.9,24.2,0.06
SBM,2005-03-18,33.0,28.0,28.4,19.9,0.05,12.942778,70.58294,63.361996,80.408485,92.8597,,17.0,25.0,,41.3,24.6,0.05
SBM,2005-03-19,34.0,29.0,30.92,26.06,0.23,10.881368,36.52798,80.363884,90.70333,100.0,,17.0,19.0,,41.7,24.9,0.05
SBM,2005-03-20,37.0,26.0,26.1,21.9,0.0,7.436148,327.7297,56.4781,76.84233,88.82257,,12.0,,,42.1,25.3,0.06
SBM,2005-03-21,35.0,19.0,26.1,17.06,0.0,6.9434752,28.336733,63.91107,78.35124,91.94183,,12.0,,,42.5,25.6,0.05
SBM,2005-03-22,35.0,25.0,27.0,24.08,0.0,10.10328,48.293766,66.35673,78.77774,96.31472,,16.0,,,42.8,26.0,0.06
SBM,2005-03-23,37.0,26.0,27.0,17.96,0.0,10.098395,51.63548,53.3559,67.4357,88.7259,,15.0,21.0,,43.2,26.3,0.06
SBM,2005-03-24,44.0,25.0,30.92,19.9,0.0,2.6231682,280.30173,42.50762,72.27434,92.2578,,6.0,,,43.6,26.6,0.05
SBM,2005-03-25,35.0,26.0,32.0,19.0,0.0,12.134683,49.112255,60.655884,71.77026,93.028,,21.0,27.0,,44.0,27.0,0.06
SBM,2005-03-26,43.0,24.0,28.04,19.0,0.0,4.0195394,186.81935,44.177734,69.686714,92.0514,,10.0,,,44.4,27.3,0.07
SBM,2005-03-27,49.0,26.0,33.1,21.9,0.0,4.2414513,187.19229,43.48977,69.6424,88.9181,,13.0,17.0,,44.8,27.6,0.06
SBM,2005-03-28,57.0,28.0,41.0,23.0,0.0,5.7536635,193.19908,49.805668,64.22505,78.7885,,9.0,,,45.1,28.0,0.07
SBM,2005-03-29,56.0,34.0,39.02,28.0,0.0,8.391486,169.97652,47.849033,59.77129,78.7885,,13.0,19.0,,45.5,28.3,0.07
SBM,2005-03-30,61.0,44.0,46.94,35.96,0.1,10.991626,162.50807,53.65,73.06699,93.44901,,19.0,28.0,,45.9,28.6,0.08
SBM,2005-03-31,50.0,30.0,45.0,28.0,0.01,11.594557,268.55832,62.30195,79.70747,93.3474,,22.0,34.0,,46.3,28.9,0.07
SBM,2005-04-01,53.0,28.0,39.2,26.06,0.05,5.267969,291.70865,42.717617,75.91521,93.19044,,10.0,,,46.7,29.2,0.09
SBM,2005-04-02,54.0,31.0,36.0,26.06,0.0,7.0753665,21.61617,48.6477,70.73101,88.4699,,13.0,,,47.1,29.5,0.08
SBM,2005-04-03,59.0,28.0,32.0,24.08,0.0,5.4284716,278.15952,35.688057,59.81652,88.918076,,10.0,,,47.5,29.9,0.09
SBM,2005-04-04,55.0,29.0,33.1,24.98,0.0,4.731333,124.45449,36.2165,64.18497,92.22705,,12.0,,,47.9,30.2,0.09
SBM,2005-04-05,67.0,35.0,51.1,32.0,0.0,6.1549196,168.23413,52.219696,69.8172,93.0828,,12.0,,,48.2,30.5,0.09
SBM,2005-04-06,65.0,42.0,46.94,37.9,0.0,6.199581,52.73814,55.802616,77.12513,92.74888,,12.0,,,48.6,30.8,0.1
SBM,2005-04-07,55.0,35.0,41.0,35.06,0.0,8.923238,34.5225,50.4163,72.952705,85.788086,,17.0,21.0,,49.0,31.1,0.1
SBM,2005-04-08,57.0,32.0,35.1,23.0,0.0,4.14515,66.49873,30.7111,62.787533,96.46132,,9.0,,,49.4,31.4,0.1
SBM,2005-04-09,59.0,32.0,37.94,30.0,0.0,5.6524773,165.77252,40.4286,62.757183,92.2945,,13.0,,,49.8,31.7,0.1
SBM,2005-04-10,68.0,35.0,39.02,32.0,0.0,6.517097,106.83496,33.186295,60.421722,92.4268,,12.0,,,50.2,32.0,0.1
